知乎资料,来源,最终结果,权重,句子,合集,感情状况,最近的感觉,什么让你有这种感觉
,2号,我内心的自由和快乐是无法用物质衡量的宝物。,1,我内心的自由和快乐是无法用物质衡量的宝物。,治愈之旅,"['快乐地单身着', '单身但准备好了开始新的恋情']","['开心', '很好']",['自己']
https://www.zhihu.com/question/20307773/answer/2553466989 https://www.zhihu.com/question/52506086/answer/2758913171 https://www.zhihu.com/question/304564566/answer/2041446980 ,3号,我接受自己受到的伤害，正视它，然后轻轻放下,1,我接受自己受到的伤害，正视它，然后轻轻放下,治愈之旅,"['正在恋爱', '处在一段艰难的亲密关系中', '最近刚分手']","['一般', '不好']",['感情']
https://zhuanlan.zhihu.com/p/549210717 https://www.zhihu.com/question/357978609/answer/2232623516 https://www.zhihu.com/question/661092845/answer/3565404608 https://www.zhihu.com/question/472210725/answer/2108768226 https://www.zhihu.com/question/276497897/answer/3441749365,3号,即使天空不曾放晴，我也能在心间播种希望。,2,即使天空不曾放晴，我也能在心间播种希望。,治愈之旅,"['处在一段艰难的亲密关系中', '快乐地单身着', '单身但准备好了开始新的恋情', '最近刚分手', '有点辛苦的暗恋']","['一般', '不好', '糟糕']",['感情']
https://www.zhihu.com/question/310713864/answer/2290776057 https://www.zhihu.com/question/20767147/answer/1875698064 https://www.zhihu.com/question/28719593/answer/3555896867 https://www.zhihu.com/question/28719593/answer/3555896867 https://www.zhihu.com/question/60197709/answer/2778310539,3号,我的生活可以朴素，但内心的世界我是富饶的王者。,2,我的生活可以朴素，但内心的世界我是富饶的王者。,个人成长,['快乐地单身着'],['很好'],['自己']
,2号,我能够与不确定感共存，这是我心智成熟的证明。,2,我能够与不确定感共存，这是我心智成熟的证明。,平和心境,"['正在恋爱', '幸福地单身着', '单身但准备好了开始新的恋情']",['很好'],['自己']
https://zhuanlan.zhihu.com/p/498827667 https://www.zhihu.com/question/455128235/answer/1842812747 https://www.zhihu.com/question/509380670/answer/3584463951 https://www.zhihu.com/question/52506086/answer/2758913171 https://www.zhihu.com/question/411506270/answer/1378172780 ,3号,风吹草动后的冷静是金，我在得失间获得了更深的智慧。,1,风吹草动后的冷静是金，我在得失间获得了更深的智慧。,个人成长,"['处在一段艰难的亲密关系中', '最近刚分手']","['一般', '不好']",['自己']
https://www.zhihu.com/question/471922836/answer/2381004386 https://www.zhihu.com/question/538025581/answer/2539194102 https://www.zhihu.com/question/52506086/answer/2758913171,3号,我用心倾听每个灵魂的声音，在沉默中发现他们的需要。,2,我用心倾听每个灵魂的声音，在沉默中发现他们的需要。,人际交往,"['正在恋爱', '处在一段艰难的亲密关系中', '快乐地单身着', '单身但准备好了开始新的恋情', '最近刚分手', '有点辛苦的暗恋']",['一般'],"['朋友', '感情']"
,2号,我对自我的认识是流动和成长的，而非一成不变的桎梏。,1,我对自我的认识是流动和成长的，而非一成不变的桎梏。,个人成长,['快乐地单身着'],['很好'],['自己']
https://www.zhihu.com/question/35897124/answer/3632185460 https://www.zhihu.com/question/22608645/answer/776241381 https://www.zhihu.com/question/315494956/answer/1465036439 https://www.zhihu.com/question/35897124/answer/3632185460 https://www.zhihu.com/question/52506086/answer/2758913171,3号,我的每一道伤，都是生命中最美的风景，无需修饰。,2,我的每一道伤，都是生命中最美的风景，无需修饰。,个人成长,['快乐地单身着'],['很好'],['自己']
https://www.zhihu.com/question/471922836/answer/2381004386 https://www.zhihu.com/question/538025581/answer/2539194102 https://www.zhihu.com/question/52506086/answer/2758913171,3号,我的关怀源于心底共鸣。,2,我的关怀源于心底共鸣。,自我关怀,"['正在恋爱', '快乐地单身着', '单身但准备好了开始新的恋情', '最近刚分手']","['很好', '一般']",['朋友']
