用户问题/症状,用户1级需求,用户2级需求,自我肯定语,生产者,参考需求,反思日志,zhihu_link
不合理信念（宿命论）,提醒自己未来是不可知的,鼓励自己重新评估信念，减少宿命论,我能在学习中发现时代变革的意义，让知识注入我期待的力量。,2号,1级需求: 提醒自己未来是不可知的,1级需求: 提醒自己未来是不可知的,https://www.zhihu.com/question/417493582/answer/2499848810 https://www.zhihu.com/question/532746783/answer/2535137829 https://www.zhihu.com/question/522688509/answer/2462647129
不合理信念（宿命论）,提醒自己未来是不可知的,鼓励自己重新评估信念，减少宿命论,我选择将焦虑转化成力量，让我在迎接挑战时更加坚定。,2号,1级需求: 提醒自己未来是不可知的,1级需求: 提醒自己未来是不可知的,https://www.zhihu.com/question/417493582/answer/2499848810 https://www.zhihu.com/question/532746783/answer/2535137829 https://www.zhihu.com/question/522688509/answer/2462647129
不合理信念（宿命论）,提醒自己未来是不可知的,鼓励自己重新评估信念，减少宿命论,我相信积极的学习能让我更好地应对时代的变局。,2号,1级需求: 提醒自己未来是不可知的,1级需求: 提醒自己未来是不可知的,https://www.zhihu.com/question/417493582/answer/2499848810 https://www.zhihu.com/question/532746783/answer/2535137829 https://www.zhihu.com/question/522688509/answer/2462647129
不合理信念（宿命论）,提醒自己未来是不可知的,鼓励自己重新评估信念，减少宿命论,我珍惜现在的机会，不断地提升自己以适应不断变化的世界。,2号,1级需求: 提醒自己未来是不可知的,1级需求: 提醒自己未来是不可知的,https://www.zhihu.com/question/417493582/answer/2499848810 https://www.zhihu.com/question/532746783/answer/2535137829 https://www.zhihu.com/question/522688509/answer/2462647129
不合理信念（宿命论）,提醒自己未来是不可知的,鼓励自己重新评估信念，减少宿命论,我具备把握机遇的智慧，无论是经济的萧条还是盛世。,2号,1级需求: 提醒自己未来是不可知的,1级需求: 提醒自己未来是不可知的,https://www.zhihu.com/question/417493582/answer/2499848810 https://www.zhihu.com/question/532746783/answer/2535137829 https://www.zhihu.com/question/522688509/answer/2462647129
不合理信念（宿命论）,提醒自己未来是不可知的,鼓励自己重新评估信念，减少宿命论,我会储蓄知识和经验，以备不时之需，让它们成为我跨领域的资本。,2号,1级需求: 提醒自己未来是不可知的,1级需求: 提醒自己未来是不可知的,https://www.zhihu.com/question/417493582/answer/2499848810 https://www.zhihu.com/question/532746783/answer/2535137829 https://www.zhihu.com/question/522688509/answer/2462647129
不合理信念（宿命论）,提醒自己未来是不可知的,鼓励自己重新评估信念，减少宿命论,我愿意深入理解世界历史与动态，以清晰的视角规划我的职业蓝图。,2号,1级需求: 提醒自己未来是不可知的,1级需求: 提醒自己未来是不可知的,https://www.zhihu.com/question/417493582/answer/2499848810 https://www.zhihu.com/question/532746783/answer/2535137829 https://www.zhihu.com/question/522688509/answer/2462647129
不合理信念（宿命论）,提醒自己未来是不可知的,鼓励自己重新评估信念，减少宿命论,我相信碳水化合物的智慧，通过交流和学习来充实自我。,2号,1级需求: 提醒自己未来是不可知的,1级需求: 提醒自己未来是不可知的,https://www.zhihu.com/question/417493582/answer/2499848810 https://www.zhihu.com/question/532746783/answer/2535137829 https://www.zhihu.com/question/522688509/answer/2462647129
不合理信念（宿命论）,提醒自己未来是不可知的,鼓励自己重新评估信念，减少宿命论,我在对话中学会开放和理解，坚信多元的观点能丰富我的生活。,2号,1级需求: 提醒自己未来是不可知的,1级需求: 提醒自己未来是不可知的,https://www.zhihu.com/question/417493582/answer/2499848810 https://www.zhihu.com/question/532746783/answer/2535137829 https://www.zhihu.com/question/522688509/answer/2462647129
不合理信念（宿命论）,提醒自己未来是不可知的,鼓励自己重新评估信念，减少宿命论,我将每一步稳健地前行，冷静面对未来的不确定性，保持乐观与期待。,2号,1级需求: 提醒自己未来是不可知的,1级需求: 提醒自己未来是不可知的,https://www.zhihu.com/question/417493582/answer/2499848810 https://www.zhihu.com/question/532746783/answer/2535137829 https://www.zhihu.com/question/522688509/answer/2462647129
不合理信念（宿命论）,提醒自己未来是不可知的,鼓励自己重新评估信念，减少宿命论,我认识到，转变思维和行为是一场漫长的航行，我有足够的智慧逐渐调整方向。,2号,1级需求: 提醒自己未来是不可知的,1级需求: 提醒自己未来是不可知的,https://www.zhihu.com/question/417493582/answer/2499848810 https://www.zhihu.com/question/532746783/answer/2535137829 https://www.zhihu.com/question/522688509/answer/2462647129
不合理信念（宿命论）,提醒自己未来是不可知的,鼓励自己重新评估信念，减少宿命论,我在爱情中逐渐学习理性与平衡，远离冲动的极端行为。,2号,1级需求: 提醒自己未来是不可知的,1级需求: 提醒自己未来是不可知的,https://www.zhihu.com/question/417493582/answer/2499848810 https://www.zhihu.com/question/532746783/answer/2535137829 https://www.zhihu.com/question/522688509/answer/2462647129
不合理信念（宿命论）,提醒自己未来是不可知的,鼓励自己重新评估信念，减少宿命论,我相信预先准备的力量，会提前规划，避免未来潜在的风险。,2号,1级需求: 提醒自己未来是不可知的,1级需求: 提醒自己未来是不可知的,https://www.zhihu.com/question/417493582/answer/2499848810 https://www.zhihu.com/question/532746783/answer/2535137829 https://www.zhihu.com/question/522688509/answer/2462647129
不合理信念（宿命论）,提醒自己未来是不可知的,鼓励自己重新评估信念，减少宿命论,在专业的道路上，我不断学习新技能，为不可预知的未来做好准备。,2号,1级需求: 提醒自己未来是不可知的,1级需求: 提醒自己未来是不可知的,https://www.zhihu.com/question/417493582/answer/2499848810 https://www.zhihu.com/question/532746783/answer/2535137829 https://www.zhihu.com/question/522688509/answer/2462647129
不合理信念（宿命论）,提醒自己未来是不可知的,鼓励自己重新评估信念，减少宿命论,我珍视跨领域的知识，这使我在面对挑战时更加从容不迫。,2号,1级需求: 提醒自己未来是不可知的,1级需求: 提醒自己未来是不可知的,https://www.zhihu.com/question/417493582/answer/2499848810 https://www.zhihu.com/question/532746783/answer/2535137829 https://www.zhihu.com/question/522688509/answer/2462647129
不合理信念（宿命论）,提醒自己未来是不可知的,鼓励自己重新评估信念，减少宿命论,不论环境如何变化，我都将珍惜我的工作并坚守职责。,2号,1级需求: 提醒自己未来是不可知的,1级需求: 提醒自己未来是不可知的,https://www.zhihu.com/question/417493582/answer/2499848810 https://www.zhihu.com/question/532746783/answer/2535137829 https://www.zhihu.com/question/522688509/answer/2462647129
不合理信念（宿命论）,提醒自己未来是不可知的,鼓励自己重新评估信念，减少宿命论,我相信积累与准备能够让我在未来的机遇中大放异彩。,2号,1级需求: 提醒自己未来是不可知的,1级需求: 提醒自己未来是不可知的,https://www.zhihu.com/question/417493582/answer/2499848810 https://www.zhihu.com/question/532746783/answer/2535137829 https://www.zhihu.com/question/522688509/answer/2462647129
不合理信念（宿命论）,提醒自己未来是不可知的,鼓励自己重新评估信念，减少宿命论,我将持续丰富我的个人作品集，确保它随时都能展示我的最佳才能。,2号,1级需求: 提醒自己未来是不可知的,1级需求: 提醒自己未来是不可知的,https://www.zhihu.com/question/417493582/answer/2499848810 https://www.zhihu.com/question/532746783/answer/2535137829 https://www.zhihu.com/question/522688509/answer/2462647129
不合理信念（宿命论）,提醒自己未来是不可知的,鼓励自己重新评估信念，减少宿命论,我愿意深入了解世界动态，将知识融入我的工作和人生规划中。,2号,1级需求: 提醒自己未来是不可知的,1级需求: 提醒自己未来是不可知的,https://www.zhihu.com/question/417493582/answer/2499848810 https://www.zhihu.com/question/532746783/answer/2535137829 https://www.zhihu.com/question/522688509/answer/2462647129
不合理信念（宿命论）,提醒自己未来是不可知的,鼓励自己重新评估信念，减少宿命论,我坚守对身边人的宽容与善待，知道共度难关是宝贵的团队精神。,2号,1级需求: 提醒自己未来是不可知的,1级需求: 提醒自己未来是不可知的,https://www.zhihu.com/question/417493582/answer/2499848810 https://www.zhihu.com/question/532746783/answer/2535137829 https://www.zhihu.com/question/522688509/answer/2462647129
不合理信念（宿命论）,提醒自己未来是不可知的,鼓励自己重新评估信念，减少宿命论,我能在学习中发现时代变革的意义，让知识注入我期待的力量。,2号,1级需求: 提醒自己未来是不可知的,1级需求: 提醒自己未来是不可知的,https://www.zhihu.com/question/417493582/answer/2499848810 https://www.zhihu.com/question/532746783/answer/2535137829 https://www.zhihu.com/question/522688509/answer/2462647129
不合理信念（宿命论）,提醒自己未来是不可知的,鼓励自己重新评估信念，减少宿命论,我选择将焦虑转化成力量，让我在迎接挑战时更加坚定。,2号,1级需求: 提醒自己未来是不可知的,1级需求: 提醒自己未来是不可知的,https://www.zhihu.com/question/417493582/answer/2499848810 https://www.zhihu.com/question/532746783/answer/2535137829 https://www.zhihu.com/question/522688509/answer/2462647129
不合理信念（宿命论）,提醒自己未来是不可知的,鼓励自己重新评估信念，减少宿命论,我相信积极的学习能让我更好地应对时代的变局。,2号,1级需求: 提醒自己未来是不可知的,1级需求: 提醒自己未来是不可知的,https://www.zhihu.com/question/417493582/answer/2499848810 https://www.zhihu.com/question/532746783/answer/2535137829 https://www.zhihu.com/question/522688509/answer/2462647129
不合理信念（宿命论）,提醒自己未来是不可知的,鼓励自己重新评估信念，减少宿命论,我珍惜现在的机会，不断地提升自己以适应不断变化的世界。,2号,1级需求: 提醒自己未来是不可知的,1级需求: 提醒自己未来是不可知的,https://www.zhihu.com/question/417493582/answer/2499848810 https://www.zhihu.com/question/532746783/answer/2535137829 https://www.zhihu.com/question/522688509/answer/2462647129
不合理信念（宿命论）,提醒自己未来是不可知的,鼓励自己重新评估信念，减少宿命论,我具备把握机遇的智慧，无论是经济的萧条还是盛世。,2号,1级需求: 提醒自己未来是不可知的,1级需求: 提醒自己未来是不可知的,https://www.zhihu.com/question/417493582/answer/2499848810 https://www.zhihu.com/question/532746783/answer/2535137829 https://www.zhihu.com/question/522688509/answer/2462647129
