场景,子场景,场景描述,用户需求,心理作用机制与功能,句子级别
人际关系,家庭关系,用户因代际观念差异或家庭矛盾产生压力，常表现为沟通不畅或情绪压抑,修正“必须改变家人”的执念，强化“我可以与家人和谐相处”的观点,认知重构-增强自信,2
社交场景,被歧视,用户因身份标签（如性别、种族）遭受不公平对待，常表现为自尊心受挫或愤怒,行动对抗歧视，倡导平等,行为驱动-目标达成,2
自我价值,价值感确立,用户因缺乏对自身价值的认同，容易产生焦虑或自我贬低,修正“我不值得被认可”、“我无法变好”等负面认知,认知重构-增强自信,2
工作学习,学业压力,用户因学业任务繁重或目标模糊产生焦虑，常表现为学习效率低下,完成特定学习任务以达成目标,行为驱动-目标达成,2
亲密关系,失恋,用户因情感断裂陷入自我否定或痛苦回忆，常表现为情绪低落或自我怀疑,设定情感恢复的短期目标（如减少回忆频率）,认知重构-目标具象化,2
社交场景,内向,用户喜欢独处或与少数亲密朋友交流，在大型社交活动中常感到疲惫或不适,提醒自己独处的价值与社交的意义，平衡独处与社交需求,动机唤醒-价值联结,2
人际关系,朋友关系,用户因友谊疏远或误会产生失落感，常表现为情感联结减弱,缓解因朋友疏远或误会误解而产生的失落感,情感安抚-情绪调节,1
身体健康,慢性健康管理,用户因慢性疾病长期性产生抗拒或焦虑，常表现为情绪波动或健康管理动力不足,完成健康管理的阶段性目标（如连续三个月指标稳定）,行为驱动-目标达成,2
心理健康,自我接纳,用户因过度追求完美导致自我批判，常表现为自我否定或情绪内耗,接纳自身的不完美，停止自我批判,情感安抚-接纳自我,1
亲密关系,伴侣互动,用户因关系冲突或日常分歧产生情绪波动，常表现为争吵或冷战,制定改善互动的具体计划（如每日倾听10分钟）,认知重构-目标具象化,2
