用户问题/症状,用户1级需求,用户2级需求
情感压抑,承认内心的情感,表达内心的情感
情绪：孤独,承认并接受自己的孤独感,提醒自己不是一个人，有人愿意关心自己，鼓励自己寻求支持和新的连接
药物依赖,承认并接受自己的药物依赖,鼓励自己寻找替代方法，减少药物依赖
灾难化思维,承认并接受自己的灾难化思维,鼓励自己减少过度担忧，增强自信
恐惧离开关系,承认并接受自己不愿意离开关系,提醒自己有能力独立生活，鼓励自己离开不健康的关系
猜疑（对对方负面想象）,承认并接受自己的猜疑,鼓励自己信任对方，减少负面想象
情绪：无助感,承认并接受自己的无助感,鼓励自己寻求支持，增强自信
攻击性行为,承认自己有时失去控制,鼓励自己寻找替代行为，减少攻击性
社交退缩,提醒自己值得拥有健康的人际关系,鼓励自己尝试社交，建立新的连接
情绪：焦虑（外部评价）,承认并接受自己受到了外部评价的影响,鼓励自己建立内在价值感与应对外部评价的策略
,,
情绪：迷茫（人生规划）,承认并接受自己对于人生规划的迷茫,鼓励自己重新评估现状与规划未来
社交退缩,提醒自己值得拥有健康的人际关系,鼓励自己尝试社交，建立新的连接
情绪：焦虑（人际关系）,承认并接受自己对于人际关系的关注,鼓励自己改善人际关系，寻求支持
情绪：迷茫（人生规划）,承认并接受自己对于人生规划的迷茫,鼓励自己重新评估现状与规划未来
社交退缩,提醒自己值得拥有健康的人际关系,鼓励自己尝试社交，建立新的连接
拖延学习,提醒自己学一点点就好,鼓励自己制定计划，逐步完成学习任务
自我价值感降低（自我怀疑）,承认和接受自己价值感降低,自我肯定
受辱敏感,承认并接受自己受辱敏感,提醒自己对他人补强，鼓励自己增强心理韧性
拖延自我关怀,提醒自己随时随地自我关怀,鼓励自己制定计划，逐步进行自我关怀
过度准备,承认并接受自己的过度准备,鼓励自己减少过度准备，增强行动力
社交退缩,提醒自己值得拥有健康的人际关系,鼓励自己尝试社交，建立新的连接
缺乏感恩的能力,提醒自己拥有许多东西,感恩自己所拥有的东西
社交退缩,提醒自己值得拥有健康的人际关系,鼓励自己尝试社交，建立新的连接
情感认知障碍（无法识别什么是健康的爱）,提醒自己有能力识别健康的爱,鼓励自己追求健康的爱
情绪：孤立感,承认并接受自己的孤立感,鼓励自己寻求支持，建立新的社交连接
缺乏感恩的能力,提醒自己拥有许多东西,感恩自己所拥有的东西
情绪：迷茫（人生规划）,承认并接受自己对于人生规划的迷茫,鼓励自己重新评估现状与规划未来
情绪：焦虑（外部评价）,承认并接受自己受到了外部评价的影响,鼓励自己建立内在价值感与应对外部评价的策略
情绪：迷茫（人生规划）,承认并接受自己对于人生规划的迷茫,鼓励自己重新评估现状与规划未来
睡眠障碍,承认并接受自己的睡眠障碍,鼓励自己寻找改善睡眠的方法
情绪：无助感,承认并接受自己的无助感,鼓励自己寻求支持，增强自信
否认或解离,承认并接受自己的否认或解离,鼓励自己聚焦当下，平和心境
对关系过度理想化,提醒自己理性客观看待所处的关系,鼓励自己重新评估关系的现实性
情绪：安全感缺失,承认并接受自己的不安,提醒自己有能力关怀保护自己，鼓励自己采取行动增强个人的安全感
失去了独立思考和做决定的能力,提醒自己有能力独立思考和做决定,鼓励自己开始独立思考和做决定
