用户问题/症状,子场景症状合并,标签（附加参考，用于引导生成或校正句子内容）,自我肯定语,zhihu_link
情绪：迷茫（人生规划）,,用户1级需求： 用户2级需求：,迷茫如眼前的迷雾，但每个自我询问，都似破雾的闪光。,https://www.zhihu.com/question/511874994/answer/3585167784 https://zhuanlan.zhihu.com/p/397031814
情绪：迷茫（人生规划）,,用户1级需求： 用户2级需求：,尝试虽小，却揭示了方向，如同北斗悬挂于我迷茫的天空。,https://www.zhihu.com/question/511874994/answer/3585167784 https://zhuanlan.zhihu.com/p/397031814
情绪：迷茫（人生规划）,,用户1级需求： 用户2级需求：,未知的将来无法让我安宁，但每一次的尝试都在拓展我的世界。,https://www.zhihu.com/question/511874994/answer/3585167784 https://zhuanlan.zhihu.com/p/397031814
情绪：迷茫（人生规划）,,用户1级需求： 用户2级需求：,迷路中，我接受自己的每一步，它们编织成我个人的成长史。,https://www.zhihu.com/question/511874994/answer/3585167784 https://zhuanlan.zhihu.com/p/397031814
情绪：迷茫（人生规划）,,用户1级需求： 用户2级需求：,我的人生是自己的舞台，不为他人的看法所左右。,https://www.zhihu.com/question/511874994/answer/3585167784 https://zhuanlan.zhihu.com/p/397031814
社交隔离（无法开始重建社交）,,用户1级需求： 用户2级需求：,在这个被隔离的世界中，我知道迈出的每一小步都是通向温暖花园的道路。,https://www.zhihu.com/pin/1233544502192680960 https://www.zhihu.com/question/521749945/answer/2418263834
社交隔离（无法开始重建社交）,,用户1级需求： 用户2级需求：,在重建社交的路上，我知道每一步都像是在时间的河流中慢慢汇入那条通向彼此理解的河床。,https://www.zhihu.com/pin/1233544502192680960 https://www.zhihu.com/question/521749945/answer/2418263834
社交隔离（无法开始重建社交）,,用户1级需求： 用户2级需求：,虽然我不能控制社交的大门，但我可以成为那个主动敲门的人。,https://www.zhihu.com/pin/1233544502192680960 https://www.zhihu.com/question/521749945/answer/2418263834
社交隔离（无法开始重建社交）,,用户1级需求： 用户2级需求：,在对话和微笑中，我找到了自己的声音，也开始听见别人的声音。,https://www.zhihu.com/pin/1233544502192680960 https://www.zhihu.com/question/521749945/answer/2418263834
社交隔离（无法开始重建社交）,,用户1级需求： 用户2级需求：,我的每一次探寻，都是心中的希望之火在燃烧。,https://www.zhihu.com/pin/1233544502192680960 https://www.zhihu.com/question/521749945/answer/2418263834
认知失调,,用户1级需求： 用户2级需求：,我感受到了内心世界的张力，就像拉开的弓，等待释放的箭一般，紧张而有力。,https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/432246724/answer/2169563558
认知失调,,用户1级需求： 用户2级需求：,我的自语如同一缕晨光，渐渐驱散认知失调带来的迷雾。,https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/432246724/answer/2169563558
认知失调,,用户1级需求： 用户2级需求：,我在深深的自我探索中，触到了灵魂最深处的需求和愿望。,https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/432246724/answer/2169563558
认知失调,,用户1级需求： 用户2级需求：,我了解一致性的力量，它让我的存在更加坚实，给予了我内心的宁静。,https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/432246724/answer/2169563558
认知失调,,用户1级需求： 用户2级需求：,我在时间的旅程中缓缓前行，坚信每一步的改变都是朝着更好的自我迈进。,https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/432246724/answer/2169563558
睡眠障碍,,用户1级需求： 用户2级需求：,我像一面镜子，白天映照世间的繁忙，夜晚则映射内心的宁静。,https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/432246724/answer/2169563558
睡眠障碍,,用户1级需求： 用户2级需求：,心中的不安如同尘埃，我在夜色中轻轻将它扫除，迎接梦的旅人。,https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/432246724/answer/2169563558
睡眠障碍,,用户1级需求： 用户2级需求：,我如同星辰，在夜晚重拾光芒，为明日的起航积蓄力量。,https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/432246724/answer/2169563558
睡眠障碍,,用户1级需求： 用户2级需求：,当夜幕降临，我摘下疲惫的面具，静静地沉入梦乡。,https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/432246724/answer/2169563558
睡眠障碍,,用户1级需求： 用户2级需求：,我放松自己，像水流入河床，自然地汇入梦的海洋。,https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/432246724/answer/2169563558
情绪：无意义感,,用户1级需求： 用户2级需求：,当我感到生活在轻声告诉我它无聊时，我开始寻找那些能点亮自我价值的火花。,https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/357978609/answer/2232623516
情绪：无意义感,,用户1级需求： 用户2级需求：,在我投入热爱的事情中，我找到了生活的调色盘，涂抹属于我的色彩。,https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/357978609/answer/2232623516
情绪：无意义感,,用户1级需求： 用户2级需求：,我的世界里，生活是自己一手一脚堆砌起来的城堡，每一砖都镌刻着我的名字。,https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/357978609/answer/2232623516
情绪：无意义感,,用户1级需求： 用户2级需求：,我的每一次行动，每一次承诺，都在诉说着‘我’的故事，每一句都是对‘我’存在的确证。,https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/357978609/answer/2232623516
情绪：无意义感,,用户1级需求： 用户2级需求：,在每一个微不足道的日常中，我探寻那些被忽视的珍珠，它们拼凑成我生活的价值图。,https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/357978609/answer/2232623516
情绪：愤怒与怨恨,,用户1级需求： 用户2级需求：,我心中那片曾被愤怒和怨恨点燃的荒地，现在被理解与宽恕的雨滋润着，渐渐恢复生机。,https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/487861949/answer/2511453315
情绪：愤怒与怨恨,,用户1级需求： 用户2级需求：,我在愤怒的天空下终于找到了智慧的庇护，学会在暴风雨来临前放下恩怨，让心灵自由飞翔。,https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/487861949/answer/2511453315
情绪：愤怒与怨恨,,用户1级需求： 用户2级需求：,我夺回内心的主权，不再让愤怒和怨恨占据我的灵魂，它们逐渐被我心中的爱和光明所驱逐。,https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/487861949/answer/2511453315
