大场景,子场景,选项,用户问题/症状,用户1级需求,用户2级需求
情感问题,失恋,"最近刚分手,感情",自我价值感降低（自我怀疑）,承认和接受自己价值感降低,自我肯定
,失恋,,情感压抑,承认内心情感,表达内心情感
,失恋,,社交隔离（无法开始重建社交）,承认并接受自己缺乏社交支持,接纳自己，包容他人，重建社交关系
,失恋,,认知混乱（无法诠释这段经历的缘由，价值和意义）,承认和接受自己对过去的经历感到混乱,尝试诠释这段经历的缘由、价值和意义，并从中学习和成长
,失恋,,认知失调（以沉迷痛苦的形式伤害自己，证明自己的爱和自义，自怜）,识别对自己有害的行为，承认自己受到了伤害,阻止对自己有害的行为
,失恋,,不合理信念（觉得自己是失败者）,承认自己在恋情中也有做得好的地方,肯定自己在恋情中做得好的地方
,失恋,,情感依赖（不由自主地想起对方）,提醒自己想念对方也是正常的,鼓励自己慢慢地不去想对方，设立界限，转移注意力
,失恋,,共生依赖（拯救欲，希望对方反过来也依赖自己）,肯定自己的同理心,理解健康关系的含义，放下拯救欲，培养独立性
,失恋,,否定过去的关系（否定关系中的爱）,提醒自己过去的经历是有意义的，鼓励自己发现关系中的爱,鼓励自己从这份爱里获得力量，继续前行
,失恋,,对关系过度理想化（美化回忆使得单身难以承受，恐惧孤独和丧失）,肯定过去关系中的美好，感恩相遇,鼓励自己客观看待过去的关系，继续前行
,失恋,,悲观（觉得自己遇不到更好的了）,允许自己为过去的关系悲伤,祝福自己未来的恋情
,失恋,,道德内疚（觉得不该用新恋情解决情绪问题，在接受新的感情上自弃）,肯定自己的道德原则,鼓励自己尝试新感情
,失恋,,社交退缩,提醒自己值得拥有亲密关系,鼓励自己尝试社交
,失恋,,对爱失去信心（恐惧再次受伤）,提醒自己在爱中受伤能够愈合,提醒自己爱的益处，鼓励自己重拾对爱的信心
,失恋,,未能充分处理好负面情绪而常常动摇（想要通过复合来寻求某种形式的解脱或证明）,提醒自己值得拥有健康的关系,鼓励自己离开不健康的关系
,失恋,,自我防御（想要证明对方是错的）,提醒自己保持冷静和理性,鼓励自己停止自我防御，尝试倾听和理解对方
,失恋,,情绪：后悔与懊恼（不甘心）,承认并接受自己对关系存在疑问,鼓励自己反思、分析和改进
,失恋,,情绪：悔恨（想要被原谅）,肯定自己的自我反省意愿和能力,鼓励自己认错和改正
,失恋,,情绪：愤怒与怨恨,承认并接受自己对自己或对方存在不满,鼓励自己反思和分析自己的负面情绪
,失恋,,情绪：安全感缺失,承认并接受自己的不安,提醒自己有能力关怀保护自己，鼓励自己采取行动增强个人的安全感
,失恋,,情绪：孤独,提醒自己不是一个人，有人愿意关心自己,鼓励自己积极寻求连接和支持
,失恋,,情绪：迷茫（人生规划）,允许自己对人生规划感到迷茫,鼓励自己重新评估现状与规划未来
,失恋,,情绪：焦虑（外部评价）,承认并接受自己受到了外部评价的影响,鼓励自己建立内在价值感与应对外部评价的策略
,被PUA,"处在一段艰难的亲密关系中,感情",自我价值感降低（自我怀疑）,承认和接受自己价值感降低,自我肯定
,被PUA,,去人格化（对自己和他人冷漠或消极的态度),承认自己对自己和他人关怀不足,鼓励自己关怀自己并培养对他人的同理心
,被PUA,,情感认知障碍（无法识别什么是健康的爱）,提醒自己有能力识别健康的爱,鼓励自己追求健康的爱
,被PUA,,对关系过度理想化,提醒自己理性客观看待所处的关系,鼓励自己重新评估关系的现实性
,被PUA,,过度反思自我责备,提醒自己他人的指责不是事实,提醒自己课题分离，不为别人的情绪自我责备
,被PUA,,失去了独立思考和做决定的能力,提醒自己有能力独立思考和做决定,鼓励自己开始独立思考和做决定
,被PUA,,社交隔离（无法开始重建社交）,承认并接受自己缺乏社交支持,接纳自己，包容他人，重建社交关系
,被PUA,,认知失调,识别对自己有害的行为，承认自己受到了伤害,阻止对自己有害的行为
,被PUA,,沟通障碍（不敢尝试表达）,承认并接受自己很少主动沟通,提醒自己他人愿意倾听，鼓励自己尝试沟通
,被PUA,,恐惧离开关系,承认并接受自己不愿意离开关系,提醒自己有能力独立生活，鼓励自己离开不健康的关系
,被PUA,,情绪：无力感,承认并接受自己感到无力,鼓励自己从小事中获得自信和力量
,被PUA,,情绪：孤独,承认并接受自己感到孤独,鼓励自己通过积极的行动与人建立连接
,被PUA,,情绪：焦虑（不够独立）,承认并接受自己不够独立,鼓励自己开始为自立付诸努力
,被PUA,,情绪：焦虑（生活不受控）,承认并接受自己生活不受控,鼓励自己提高对生活的掌控
,被PUA,,情绪：安全感缺失,承认并接受自己的不安,提醒自己有能力关怀保护自己，鼓励自己采取行动增强个人的安全感
,父母反对,"处在一段艰难的亲密关系中,感情",自我怀疑（怀疑自己的眼光和判断能力）,承认并接受自己的怀疑,鼓励自己重新评估自己的判断
,,,道德内疚（觉得对父母有亏欠）,承认并接受自己的内疚感,鼓励自己与父母沟通，表达自己的感受
,,,自我防御（想要证明对方是错的）,承认并接受自己的防御心理,鼓励自己停止防御，尝试理解父母的立场
,,,家庭冲突,承认并接受家庭冲突的存在,鼓励自己寻找解决冲突的方法
,,,情绪：孤独,承认并接受自己的孤独感,鼓励自己寻求支持，建立新的社交连接
,,,情绪：焦虑（关系进展）,承认并接受自己的焦虑,鼓励自己制定计划，逐步推进关系
,,,情绪：焦虑（人际关系）,承认并接受自己的焦虑,鼓励自己改善人际关系，寻求支持
,,,情绪：焦虑（不够独立）,承认并接受自己的焦虑,鼓励自己提高独立性，增强自信
,异地恋,"处在一段艰难的亲密关系中,感情",沟通障碍（不敢尝试表达）,承认并接受自己的沟通障碍,鼓励自己尝试表达，改善沟通
,,,猜疑（对对方负面想象）,承认并接受自己的猜疑,鼓励自己信任对方，减少负面想象
,,,冲突化解难度高,承认并接受冲突的存在,鼓励自己寻找解决冲突的方法
,,,信任问题,承认并接受自己的信任问题,鼓励自己建立信任，减少猜疑
,,,对爱失去信心,承认并接受自己的失望,鼓励自己重新评估关系，寻找爱的意义
,,,情感波动（难以抵抗新人的诱惑）,承认并接受自己的情感波动,鼓励自己专注于现有关系，减少外界干扰
,,,悲观（觉得两人没有未来）,承认并接受自己的悲观情绪,鼓励自己重新评估关系，寻找未来的可能性
,,,情绪：孤独,承认并接受自己的孤独感,鼓励自己寻求支持，建立新的社交连接
,,,情绪：焦虑（关系进展）,承认并接受自己的焦虑,鼓励自己制定计划，逐步推进关系
,,,情绪：迷茫（人生规划）,承认并接受自己的迷茫,鼓励自己重新评估现状与规划未来
,,,情绪：焦虑（外部评价）,承认并接受自己受到了外部评价的影响,鼓励自己建立内在价值感与应对外部评价的策略
,,,情绪：安全感缺失,承认并接受自己的不安,提醒自己有能力关怀保护自己，鼓励自己采取行动增强个人的安全感
,经济压力,"处在一段艰难的亲密关系中,感情",社交隔离（无法开始重建社交）,承认并接受自己缺乏社交支持,接纳自己，包容他人，重建社交关系
,,,虚荣（觉得没钱没面子）,承认并接受自己的虚荣心,鼓励自己重新评估价值观，减少对外在物质的依赖
,,,自我价值感降低（自我怀疑）,承认和接受自己价值感降低,自我肯定
,,,悲观（觉得两人没有未来）,承认并接受自己的悲观情绪,鼓励自己重新评估关系，寻找未来的可能性
,,,不合理信念（觉得自己是失败者）,承认自己在恋情中也有做得好的地方,肯定自己在恋情中做得好的地方
,,,情绪：焦虑（关系进展）,承认并接受自己的焦虑,鼓励自己制定计划，逐步推进关系
,,,情绪：迷茫（人生规划）,承认并接受自己的迷茫,鼓励自己重新评估现状与规划未来
,,,情绪：焦虑（外部评价）,承认并接受自己受到了外部评价的影响,鼓励自己建立内在价值感与应对外部评价的策略
,,,情绪：匮乏感,承认并接受自己的匮乏感,鼓励自己寻找资源，改善经济状况
,,,情绪：内疚感（觉得自己爱很有限）,承认并接受自己的内疚感,鼓励自己重新评估爱的能力，增强自信
,,,情绪：安全感缺失,承认并接受自己的不安,提醒自己有能力关怀保护自己，鼓励自己采取行动增强个人的安全感
,不会爱与被爱,"处在一段艰难的亲密关系中,感情",占有欲,承认并接受自己的占有欲,鼓励自己理解健康关系的边界
,,,权力欲,承认并接受自己的权力欲,鼓励自己放下控制欲，尊重对方的自主权
,,,无意识侵犯对方自主权（包办/强制放债/爹味）,承认并接受自己的行为,鼓励自己尊重对方的自主权，改善沟通
,,,沟通障碍,承认并接受自己的沟通障碍,鼓励自己尝试表达，改善沟通
,,,猜疑（对对方负面想象）,承认并接受自己的猜疑,鼓励自己信任对方，减少负面想象
,,,情感认知障碍（无法识别什么是健康的爱）,提醒自己有能力识别健康的爱,鼓励自己追求健康的爱
,,,缺乏感恩的能力,承认并接受自己的不足,鼓励自己培养感恩的心态
,,,缺乏珍惜的能力,承认并接受自己的不足,鼓励自己珍惜现有关系
,,,恐惧离开关系,承认并接受自己不愿意离开关系,提醒自己有能力独立生活，鼓励自己离开不健康的关系
,,,情绪：焦虑（关系进展）,承认并接受自己的焦虑,鼓励自己制定计划，逐步推进关系
,,,情绪：焦虑（外部评价）,承认并接受自己受到了外部评价的影响,鼓励自己建立内在价值感与应对外部评价的策略
,暗恋,"有点辛苦的暗恋,感情",自卑,承认并接受自己的自卑感,鼓励自己增强自信，减少自我怀疑
,,,社交退缩,承认并接受自己的社交退缩,鼓励自己尝试社交，建立新的连接
