大场景,子场景,选项,用户问题/症状,用户1级需求,用户2级需求,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,index
情感问题,失恋,"最近刚分手,感情",自我价值感降低（自我怀疑）,自我安抚,自我肯定，重新发现自我价值,,,,,,,,,,,,自我价值感降低（自我怀疑）自我安抚自我肯定，重新发现自我价值
,失恋,,情感压抑,承认内心的情感,表达内心的情感,,,,,,,,,,,,情感压抑承认内心的情感表达内心的情感
,失恋,,社交隔离（无法开始重建社交）,提醒自己与人建立连接是安全而有益的,接纳自己，包容他人，重建社交关系,,,,,,,,,,,,社交隔离（无法开始重建社交）提醒自己与人建立连接是安全而有益的接纳自己，包容他人，重建社交关系
,失恋,,认知混乱（无法诠释这段经历的缘由，价值和意义）,承认和接受自己对过去的经历感到混乱,尝试诠释这段经历的缘由、价值和意义，并从中学习和成长,,,,,,,,,,,,认知混乱（无法诠释这段经历的缘由，价值和意义）承认和接受自己对过去的经历感到混乱尝试诠释这段经历的缘由、价值和意义，并从中学习和成长
,失恋,,认知失调（以沉迷痛苦的形式伤害自己，证明自己的爱和自义，自怜）,识别对自己有害的行为，承认自己受到了伤害,阻止对自己有害的行为,,,,,,,,,,,,认知失调（以沉迷痛苦的形式伤害自己，证明自己的爱和自义，自怜）识别对自己有害的行为，承认自己受到了伤害阻止对自己有害的行为
,失恋,,不合理信念（觉得自己是失败者）,承认自己在恋情中也有做得好的地方,肯定自己在恋情中做得好的地方,,,,,,,,,,,,不合理信念（觉得自己是失败者）承认自己在恋情中也有做得好的地方肯定自己在恋情中做得好的地方
,失恋,,情感依赖（不由自主地想起对方）,提醒自己想念对方也是正常的,鼓励自己慢慢地不去想对方，设立界限，转移注意力,,,,,,,,,,,,情感依赖（不由自主地想起对方）提醒自己想念对方也是正常的鼓励自己慢慢地不去想对方，设立界限，转移注意力
,失恋,,共生依赖（拯救欲，希望对方反过来也依赖自己）,肯定自己的同理心,理解健康关系的含义，放下拯救欲，培养独立性,,,,,,,,,,,,共生依赖（拯救欲，希望对方反过来也依赖自己）肯定自己的同理心理解健康关系的含义，放下拯救欲，培养独立性
,失恋,,否定过去的关系（否定关系中的爱）,提醒自己过去的经历是有意义的，鼓励自己发现关系中的爱,鼓励自己从这份爱里获得力量，继续前行,,,,,,,,,,,,否定过去的关系（否定关系中的爱）提醒自己过去的经历是有意义的，鼓励自己发现关系中的爱鼓励自己从这份爱里获得力量，继续前行
,失恋,,对关系过度理想化（美化回忆使得单身难以承受，恐惧孤独和丧失）,肯定过去关系中的美好，感恩相遇,鼓励自己客观看待过去的关系，继续前行,,,,,,,,,,,,对关系过度理想化（美化回忆使得单身难以承受，恐惧孤独和丧失）肯定过去关系中的美好，感恩相遇鼓励自己客观看待过去的关系，继续前行
,失恋,,悲观（觉得自己遇不到更好的了）,允许自己为过去的关系悲伤,祝福自己未来的恋情,,,,,,,,,,,,悲观（觉得自己遇不到更好的了）允许自己为过去的关系悲伤祝福自己未来的恋情
,失恋,,道德内疚（觉得不该用新恋情解决情绪问题，在接受新的感情上自弃）,肯定自己的道德原则,鼓励自己尝试新感情,,,,,,,,,,,,道德内疚（觉得不该用新恋情解决情绪问题，在接受新的感情上自弃）肯定自己的道德原则鼓励自己尝试新感情
,失恋,,社交退缩,提醒自己值得拥有亲密关系,鼓励自己尝试社交，建立新的连接,,,,,,,,,,,,社交退缩提醒自己值得拥有亲密关系鼓励自己尝试社交，建立新的连接
,失恋,,对爱失去信心（恐惧再次受伤）,提醒自己在爱中受伤能够愈合,提醒自己爱的益处，鼓励自己重拾对爱的信心,,,,,,,,,,,,对爱失去信心（恐惧再次受伤）提醒自己在爱中受伤能够愈合提醒自己爱的益处，鼓励自己重拾对爱的信心
,失恋,,未能充分处理好负面情绪而常常动摇（想要通过复合来寻求某种形式的解脱或证明）,提醒自己值得拥有健康的关系,鼓励自己离开不健康的关系,,,,,,,,,,,,未能充分处理好负面情绪而常常动摇（想要通过复合来寻求某种形式的解脱或证明）提醒自己值得拥有健康的关系鼓励自己离开不健康的关系
,失恋,,自我防御（想要证明对方是错的）,提醒自己保持冷静和理性,鼓励自己停止自我防御，尝试倾听和理解对方,,,,,,,,,,,,自我防御（想要证明对方是错的）提醒自己保持冷静和理性鼓励自己停止自我防御，尝试倾听和理解对方
,失恋,,情绪：后悔与懊恼（不甘心）,承认并接受自己对关系存在疑问,鼓励自己反思、分析和改进,,,,,,,,,,,,情绪：后悔与懊恼（不甘心）承认并接受自己对关系存在疑问鼓励自己反思、分析和改进
,失恋,,情绪：悔恨（想要被原谅）,肯定自己的自我反省意愿和能力,鼓励自己认错和改正,,,,,,,,,,,,情绪：悔恨（想要被原谅）肯定自己的自我反省意愿和能力鼓励自己认错和改正
