大场景,子场景,选项,用户问题/症状,子场景症状合并,标签（附加参考，用于引导生成或校正句子内容）,用户需求,子场景用户需求合并,,,,,,,,,,,,
情感问题,失恋,"最近刚分手,感情",自我价值感降低（自我怀疑）,失恋-自我价值感降低（自我怀疑）,自信,自我肯定,失恋-自我肯定,,,,,,,,,,,,
,,,情感压抑,失恋-情感压抑,诚实、勇敢,情感表达,失恋-情感表达,,,,,,,,,,,,
,,,社交隔离（无法开始重建社交）,失恋-社交隔离（无法开始重建社交）,勇敢,社交重建,失恋-社交重建,,,,,,,,,,,,
,,,认知混乱（无法诠释这段经历的缘由，价值和意义）,失恋-认知混乱（无法诠释这段经历的缘由，价值和意义）,求真,尝试从不同角度分析关系的结束，并从中学习和成长,失恋-尝试从不同角度分析关系的结束，并从中学习和成长,,,,,,,,,,,,
,,,认知失调（以沉迷痛苦的形式伤害自己，证明自己的爱和自义，自怜）,失恋-认知失调（以沉迷痛苦的形式伤害自己，证明自己的爱和自义，自怜）,诚实,识别并改变导致负面情绪的行为模式,失恋-识别并改变导致负面情绪的行为模式,,,,,,,,,,,,
,,,不合理信念（觉得自己是失败者）,失恋-不合理信念（觉得自己是失败者）,自信、不自怜,用理性思维挑战和替换不合理的信念，接受不完美,失恋-用理性思维挑战和替换不合理的信念，接受不完美,,,,,,,,,,,,
,,,情感依赖（不由自主地想起对方）,失恋-情感依赖（不由自主地想起对方）,独立,设立界限，转移注意力,失恋-设立界限，转移注意力,,,,,,,,,,,,
,,,共生依赖（拯救欲，希望对方反过来也依赖自己）,失恋-共生依赖（拯救欲，希望对方反过来也依赖自己）,不自义,培养独立性，理解健康关系,失恋-培养独立性，理解健康关系,,,,,,,,,,,,
,,,否定过去的关系（否定关系中的爱）,失恋-否定过去的关系（否定关系中的爱）,求真,,,,,,,,,,,,,,
,,,对关系过度理想化（美化回忆使得单身难以承受，恐惧孤独和丧失）,失恋-对关系过度理想化（美化回忆使得单身难以承受，恐惧孤独和丧失）,求真,,,,,,,,,,,,,,
,,,悲观（觉得自己遇不到更好的了）,失恋-悲观（觉得自己遇不到更好的了）,永不绝望,,,,,,,,,,,,,,
,,,道德内疚（觉得不该用新恋情解决情绪问题，在接受新的感情上自弃）,失恋-道德内疚（觉得不该用新恋情解决情绪问题，在接受新的感情上自弃）,负责,,,,,,,,,,,,,,
,,,社交退缩,失恋-社交退缩,勇敢,,,,,,,,,,,,,,
