类别,场景,子场景,场景描述,用户需求,心理作用机制与功能,句子级别,句子范式,句子示例,,,,,,,,,,,
个人成长,创造力,创意设计与表达,,激发灵感、提升创意能力、展现独特风格,认知重构-增强自信,2,,,,,,,,,,,,,
个人成长,创造力,创意设计与表达,,激发灵感、提升创意能力、展现独特风格,认知重构-目标达成,2,,,,,,,,,,,,,
个人成长,创造力,创意设计与表达,,激发灵感、提升创意能力、展现独特风格,行为驱动-提升行动力,2,,,,,,,,,,,,,
个人成长,创造力,创意设计与表达,,激发灵感、提升创意能力、展现独特风格,行为驱动-目标达成,2,,,,,,,,,,,,,
个人成长,创造力,创造性问题解决,,设计难题、激发创造力、找到解决方案、提升问题解决能力,认知重构-增强自信,2,,,,,,,,,,,,,
个人成长,创造力,创造性问题解决,,设计难题、激发创造力、找到解决方案、提升问题解决能力,认知重构-目标达成,2,,,,,,,,,,,,,
个人成长,创造力,创造性问题解决,,设计难题、激发创造力、找到解决方案、提升问题解决能力,行为驱动-提升行动力,2,,,,,,,,,,,,,
个人成长,创造力,创造性问题解决,,设计难题、激发创造力、找到解决方案、提升问题解决能力,行为驱动-目标达成,2,,,,,,,,,,,,,
个人成长,工作学习,技能拓展,,缓解学习新技能时的紧张感，享受每次进步带来的满足感,情感安抚-目标平和化,2,,,,,,,,,,,,,
个人成长,工作学习,技能拓展,,克服自我怀疑，确信自己有能力学会并精通新技能,认知重构-增强自信,2,,,,,,,,,,,,,
个人成长,工作学习,技能拓展,,提升对新技能的兴趣和热情,认知重构-目标达成,2,,,,,,,,,,,,,
个人成长,工作学习,技能拓展,,找到有效的练习方式，将理论知识转化为实际操作能力,行为驱动-提升行动力,2,,,,,,,,,,,,,
个人成长,工作学习,技能拓展,,完成特定技能的学习目标,行为驱动-目标达成,2,,,,,,,,,,,,,
个人成长,工作学习,领导力培养,,减轻担任领导者角色的压力,情感安抚-目标平和化,2,,,,,,,,,,,,,
个人成长,工作学习,领导力培养,,提升自信，相信自己的领导能力,认知重构-增强自信,2,,,,,,,,,,,,,
个人成长,工作学习,领导力培养,,设定并达成领导力发展的目标,认知重构-目标达成,2,,,,,,,,,,,,,
个人成长,工作学习,领导力培养,,采取实际行动提高领导力,行为驱动-提升行动力,2,,,,,,,,,,,,,
个人成长,工作学习,领导力培养,,实现具体领导力发展目标,行为驱动-目标达成,2,,,,,,,,,,,,,
个人成长,工作学习,学业压力,,缓解面对学业任务时的压力,情感安抚-缓解压力,1,,,,,,,,,,,,,
