类别,场景,子场景,场景描述,用户需求,心理作用机制与功能,句子级别,句子范式,,,,,,,,,,,
自我认知,自我认知,内耗（个体内部矛盾、冲突或斗争）,用户因内在矛盾（如理想与现实的冲突、多重身份标签不兼容）导致决策困难或情绪消耗，常表现为过度思虑或行动力低下,设定克服内耗的合理渐进式目标，缓解过度思虑,情感安抚-目标平和化,1,"[简单-心态稳定式,简单-积极感知式,简单-心念培育式]",,,,,,,,,,,
自我认知,自我认知,内耗（个体内部矛盾、冲突或斗争）,用户因内在矛盾（如理想与现实的冲突、多重身份标签不兼容）导致决策困难或情绪消耗，常表现为过度思虑或行动力低下,直面矛盾，整合分裂的自我认知,存在勇气激发-接纳存在孤独,2,"[简单-自我接纳式,简单-感恩整合式,简单-心念锚定式,逻辑-心念锚定式]",,,,,,,,,,,
自我认知,自我认知,内耗（个体内部矛盾、冲突或斗争）,用户因内在矛盾（如理想与现实的冲突、多重身份标签不兼容）导致决策困难或情绪消耗，常表现为过度思虑或行动力低下,统一内在价值，减少自我冲突,动机唤醒-价值联结,2,"[简单-主体意义式,简单-独特价值宣言式]",,,,,,,,,,,
自我认知,自我认知,内耗（个体内部矛盾、冲突或斗争）,用户因内在矛盾（如理想与现实的冲突、多重身份标签不兼容）导致决策困难或情绪消耗，常表现为过度思虑或行动力低下,分解矛盾选项，提升决策力,认知重构-目标具象化,2,"[简单-心念培育式,逻辑-心念培育式]",,,,,,,,,,,
自我认知,自我认知,身份认同困惑,用户因多重社会角色（如职业身份、家庭角色）冲突或流动性身份标签（如性别认同、文化身份）引发困惑，常表现为对自我定位的迷茫,整合多重身份标签，提升自我身份认同感,意义构建-寻找生命意义,2,"[简单-主体意义式,简单-独特价值宣言式]",,,,,,,,,,,
自我认知,自我认知,身份认同困惑,用户因多重社会角色（如职业身份、家庭角色）冲突或流动性身份标签（如性别认同、文化身份）引发困惑，常表现为对自我定位的迷茫,减少社会期待压力,自主选择与担当-获得选择的力量,2,"[简单-主权宣告式,权力意志-对抗超升式]",,,,,,,,,,,
自我认知,自我认知,身份认同困惑,用户因多重社会角色（如职业身份、家庭角色）冲突或流动性身份标签（如性别认同、文化身份）引发困惑，常表现为对自我定位的迷茫,接纳身份流动性，对社会标准的“失败”脱敏,认知重构-失败脱敏,2,"[简单-自我接纳式,简单-感恩整合式,简单-环境接纳式,简单-经历意义式]",,,,,,,,,,,
自我认知,自我价值,价值感确立,用户因缺乏对自身价值的认同，容易产生焦虑或自我贬低,缓解因价值感缺失引发的焦虑,情感安抚-情绪调节,1,"[简单-情绪应对式,简单-价值锚定式]",,,,,,,,,,,
自我认知,自我价值,价值感确立,用户因缺乏对自身价值的认同，容易产生焦虑或自我贬低,接纳当前自我价值的不完美状态,情感安抚-接纳自我,1,"[简单-自我接纳式,简单-感恩整合式,简单-价值锚定式]",,,,,,,,,,,
自我认知,自我价值,价值感确立,用户因缺乏对自身价值的认同，容易产生焦虑或自我贬低,设定价值感提升的渐进式目标,情感安抚-目标平和化,1,"[简单-心态稳定式,简单-积极感知式,简单-心念培育式,简单-价值锚定式,逻辑-价值锚定式]",,,,,,,,,,,
自我认知,自我价值,价值感确立,用户因缺乏对自身价值的认同，容易产生焦虑或自我贬低,修正“我不值得被认可”、“我无法变好”等负面认知,认知重构-增强自信,2,"[简单-主体意义式,简单-独特价值宣言式,权力意志-对抗超升式,简单-价值锚定式,逻辑-价值锚定式]",,,,,,,,,,,
自我认知,自我价值,价值感确立,用户因缺乏对自身价值的认同，容易产生焦虑或自我贬低,将抽象价值感转化为具体行动方向,认知重构-目标具象化,2,"[简单-心念培育式,逻辑-心念培育式,简单-价值锚定式,逻辑-价值锚定式]",,,,,,,,,,,
自我认知,自我价值,价值感确立,用户因缺乏对自身价值的认同，容易产生焦虑或自我贬低,通过小行动积累自我价值认同,行为驱动-提升行动力,2,"[简单-心念锚定式,逻辑-心念锚定式,简单-价值锚定式,逻辑-价值锚定式]",,,,,,,,,,,
自我认知,自我价值,价值感确立,用户因缺乏对自身价值的认同，容易产生焦虑或自我贬低,完成价值感建设的里程碑（如公开表达观点）,行为驱动-目标达成,2,"[简单-行动宣告式,简单-自然改变式，简单-爱之循环式,简单-价值锚定式,逻辑-价值锚定式]",,,,,,,,,,,
自我认知,自我价值,内在自信,用户因对自身能力或价值的怀疑，常陷入自我否定或犹豫不决的状态,采取实际行动提高内在自信,行为驱动-提升行动力,2,"[简单-心念锚定式,逻辑-心念锚定式,简单-价值锚定式,逻辑-价值锚定式]",,,,,,,,,,,
自我认知,自我价值,内在自信,用户因对自身能力或价值的怀疑，常陷入自我否定或犹豫不决的状态,实现设定的内在自信目标,行为驱动-目标达成,2,"[简单-行动宣告式,简单-自然改变式，简单-爱之循环式,简单-价值锚定式,逻辑-价值锚定式]",,,,,,,,,,,
