序号,自我肯定语,合集,合集理由,权重,曝光点赞率,不感兴趣次数,是否短断句,生产者,感情状况,感情状况理由,最近的感觉,什么让你有这种感觉,最近的感觉理由,场景,子场景,用户需求,心理作用机制与功能,句子级别,备注
4,今天的我就是今天的最好版本。,"['积极心态', '自信', '我很好']","{'未选合集及理由': {'个人成长': '句子没有明确涉及成长或学习进步的内容。', '艰难时刻': '语句不涉及自我安抚或情绪困境的接纳。', '平静内心': '不符合寻找心理宁静的需求。', '抗击抑郁': '语句未聚焦低落情绪的恢复。', '心碎疗愈': '无情感伤害或关系修复内容。', '自我关怀': '无直接关于滋养自我的表达。', '减压放松': '未体现压力释放或当下放松意图。', '感恩练习': '不涉及感恩或资源觉察内容。', '爱我的身体': '无身体相关的觉察或积极接纳表达。', '爱自己': '未明确传达无条件自我认同。', '自尊心': '未强调自身价值体系的稳固。', '愉悦心情': '不涉及日常愉悦感知。', '焕发生命力': '未关注唤醒内在活力或潜能。', '点燃动力': '不涉及突破行动瓶颈或意志召唤。', '拥抱女性身份': '无女性身份相关内容。', '女性力量': '未涉及抗争/主权意识建构。', '亲密关系': '语句未指向关系修复或信任建设。', '人际交往': '未关注社交掌控感或边界维护。', '爱家人': '未提及家庭成员或家庭关系。', '原谅': '无关于宽恕他人或自我原谅的内容。', '事业成功': '无职业发展或成就目标导向。', '擦拭信念': '未涉及信念重塑或理想追求。', '追梦无悔': '未体现追梦或不懈努力情境。'}}",,,,,,"['正在恋爱', '快乐地单身着', '单身但准备好了开始新的恋情']",不放'最近刚分手'和'处在一段艰难的亲密关系中'的理由是，这些状态的用户可能正经历情感上的挑战和困难，而这句话强调的是自我肯定和积极态度，可能不太适合他们当前的情感状态。不放'有点辛苦的暗恋'的理由是，这句话没有直接涉及到暗恋的情感体验，而是更侧重于自我肯定和积极态度。,"['开心', '很好', '一般']",['自己'],该自我肯定语表达了对自我的积极肯定和自信，适用于情感状态为开心、很好和一般的用户。句子中没有提及家庭、朋友、工作、健康、感情和学业等外部因素，因此只选择与自我相关的标签。,,,,,,
1,今天我允许自己享受片刻宁静。,"['平静内心', '减压放松']","{'未选合集及理由': {'个人成长': '语句未涉及个人发展或学习进步。', '自信': '未强调自我信任或能力肯定。', '艰难时刻': '语句不涉及自我安抚或情绪困境的接纳。', '抗击抑郁': '语句未聚焦低落情绪的恢复。', '心碎疗愈': '无情感伤害或关系修复内容。', '自我关怀': '未体现自我滋养或自我照顾。', '感恩练习': '不涉及感恩或资源觉察内容。', '爱我的身体': '无身体相关的觉察或积极接纳表达。', '爱自己': '未明确传达无条件自我认同。', '自尊心': '未强调自身价值体系的稳固。', '我很好': '不涉及自我状态的简单确认。', '积极心态': '未强调乐观思维或积极感知。', '愉悦心情': '不涉及日常愉悦感知。', '焕发生命力': '未关注唤醒内在活力或潜能。', '点燃动力': '不涉及突破行动瓶颈或意志召唤。', '拥抱女性身份': '无女性身份相关内容。', '女性力量': '未涉及抗争/主权意识建构。', '亲密关系': '语句未指向关系修复或信任建设。', '人际交往': '未关注社交掌控感或边界维护。', '爱家人': '未提及家庭成员或家庭关系。', '原谅': '无关于宽恕他人或自我原谅的内容。', '事业成功': '无职业发展或成就目标导向。', '擦拭信念': '未涉及信念重塑或理想追求。', '追梦无悔': '未体现追梦或不懈努力情境。'}}",,,,,,"['正在恋爱', '处在一段艰难的亲密关系中', '快乐地单身着', '单身但准备好了开始新的恋情']",不放'最近刚分手'的原因是句子中没有涉及情感失落、疗愈、反思或对过去关系的释怀。不放'有点辛苦的暗恋'的原因是句子中没有涉及离开、分离，也没有提及人际交往合集中的勇气、疗愈、鼓励或人际关系上的主动。,"['很好', '一般']",['自己'],自我肯定语中提到的享受片刻宁静，表达了一种积极的情绪和满足感，因此适合【很好】和【开心】的情感状态。由于句子中没有涉及家庭、朋友、工作、健康、感情、学业等外部因素，所以只选择了【自己】标签。,,,,,,
3,我能感受到自己的平静和安宁。,['平静内心'],"{'未选合集及理由': {'艰难时刻': '语句不涉及自我安抚或情绪困境的接纳。', '抗击抑郁': '语句未聚焦低落情绪的恢复。', '心碎疗愈': '无情感伤害或关系修复内容。', '自我关怀': '未体现自我滋养或关爱行为。', '减压放松': '未体现压力释放或当下放松意图。', '感恩练习': '不涉及感恩或资源觉察内容。', '爱我的身体': '无身体相关的觉察或积极接纳表达。', '爱自己': '未明确传达无条件自我认同。', '自尊心': '未强调自身价值体系的稳固。', '我很好': '不涉及自我状态的简单确认。', '积极心态': '未强调乐观思维或积极感知。', '愉悦心情': '不涉及日常愉悦感知。', '焕发生命力': '未关注唤醒内在活力或潜能。', '点燃动力': '不涉及突破行动瓶颈或意志召唤。', '拥抱女性身份': '无女性身份相关内容。', '女性力量': '未涉及抗争/主权意识建构。', '亲密关系': '语句未指向关系修复或信任建设。', '人际交往': '未关注社交掌控感或边界维护。', '爱家人': '未提及家庭成员或家庭关系。', '原谅': '无关于宽恕他人或自我原谅的内容。', '个人成长': '未强调个人发展或学习进步。', '事业成功': '无职业发展或成就目标导向。', '擦拭信念': '未涉及信念重塑或理想追求。', '追梦无悔': '未体现追梦或不懈努力情境。'}}",,,,,,"['正在恋爱', '快乐地单身着', '单身但准备好了开始新的恋情']",不放'最近刚分手'和'处在一段艰难的亲密关系中'的理由是，这些状态中的人可能正经历着情感上的波动和不安，而该自我肯定语强调的是内心的平静和安宁，可能与他们当前的情感状态不相符。不放'有点辛苦的暗恋'的理由是，该状态的人可能正经历着内心的挣扎和不安，而该自我肯定语强调的是内心的平静和安宁，可能与他们当前的情感状态不相符。,"['很好', '一般']",['自己'],这句话表达了一种平静和安宁的感觉，适合于情绪积极或中性的用户。因此，不适合推送给情感状态为'不好'和'糟糕'的用户，因为他们需要的是安慰和支持。此外，这句话主要关注个人的内心感受，所以只选择了'自己'作为相关因素。,,,,,,
5,每天我都在变得更好。,"['个人成长', '积极心态', '我很好']","{'未选合集及理由': {'自信': '虽然句子表达了自我提升，但未直接强调自我信任或能力自信。', '艰难时刻': '语句未涉及面对困境时的坚韧或希望，而是强调日常的自我提升。', '平静内心': '未体现寻找心理宁静的需求，而是关注个人成长。', '抗击抑郁': '未聚焦低落情绪的恢复，而是强调日常的积极变化。', '心碎疗愈': '无情感伤害或关系修复内容，而是强调个人成长。', '自我关怀': '未直接关于滋养自我的表达，而是强调变得更好。', '减压放松': '未体现压力释放或当下放松意图，而是强调个人成长。', '感恩练习': '不涉及感恩或资源觉察内容，而是强调个人成长。', '爱我的身体': '无身体相关的觉察或积极接纳表达，而是强调个人成长。', '爱自己': '未明确传达无条件自我认同，而是强调变得更好。', '自尊心': '未强调自身价值体系的稳固，而是强调变得更好。', '愉悦心情': '不涉及日常愉悦感知，而是强调变得更好。', '焕发生命力': '未关注唤醒内在活力或潜能，而是强调变得更好。', '点燃动力': '不涉及突破行动瓶颈或意志召唤，而是强调变得更好。', '拥抱女性身份': '无女性身份相关内容，而是强调个人成长。', '女性力量': '未涉及抗争/主权意识建构，而是强调变得更好。', '亲密关系': '语句未指向关系修复或信任建设，而是强调变得更好。', '人际交往': '未关注社交掌控感或边界维护，而是强调变得更好。', '爱家人': '未提及家庭成员或家庭关系，而是强调变得更好。', '原谅': '无关于宽恕他人或自我原谅的内容，而是强调变得更好。', '事业成功': '无职业发展或成就目标导向，而是强调个人成长。', '擦拭信念': '未涉及信念重塑或理想追求，而是强调变得更好。', '追梦无悔': '未体现追梦或不懈努力情境，而是强调变得更好。'}}",,,,,,"['正在恋爱', '快乐地单身着', '单身但准备好了开始新的恋情']",不放'最近刚分手'和'处在一段艰难的亲密关系中'的理由是，这句话强调的是个人成长和自我提升，而'最近刚分手'和'处在一段艰难的亲密关系中'更多涉及情感失落和关系矛盾，与这句话的积极自我肯定不太匹配。不放'有点辛苦的暗恋'的理由是，这句话更多强调自我成长，而'有点辛苦的暗恋'更多涉及对特定人的情感，与这句话的适配度不高。,"['开心', '很好', '一般']",['自己'],该自我肯定语表达了个人成长和自信，适合开心、很好和一般的情感状态。不好和糟糕的情感状态通常涉及需要安慰和支持，而该句子更倾向于积极和自我肯定，因此不适合。,,,,,,
2,适当的休息是为了更好地继续前行。,"['自我关怀', '减压放松']","{'未选合集及理由': {'个人成长': '语句未涉及个人发展或学习进步。', '自信': '未强调自我信任或能力确认。', '艰难时刻': '语句不涉及自我安抚或情绪困境的接纳。', '平静内心': '不符合寻找心理宁静的需求。', '抗击抑郁': '语句未聚焦低落情绪的恢复。', '心碎疗愈': '无情感伤害或关系修复内容。', '感恩练习': '不涉及感恩或资源觉察内容。', '爱我的身体': '无身体相关的觉察或积极接纳表达。', '爱自己': '未明确传达无条件自我认同。', '自尊心': '未强调自身价值体系的稳固。', '我很好': '不涉及自我状态的简单确认。', '积极心态': '未强调乐观思维或积极感知。', '愉悦心情': '不涉及日常愉悦感知。', '焕发生命力': '未关注唤醒内在活力或潜能。', '点燃动力': '不涉及突破行动瓶颈或意志召唤。', '拥抱女性身份': '无女性身份相关内容。', '女性力量': '未涉及抗争/主权意识建构。', '亲密关系': '语句未指向关系修复或信任建设。', '人际交往': '未关注社交掌控感或边界维护。', '爱家人': '未提及家庭成员或家庭关系。', '原谅': '无关于宽恕他人或自我原谅的内容。', '事业成功': '无职业发展或成就目标导向。', '擦拭信念': '未涉及信念重塑或理想追求。', '追梦无悔': '未体现追梦或不懈努力情境。'}}",,,,,,"['正在恋爱', '处在一段艰难的亲密关系中', '快乐地单身着', '单身但准备好了开始新的恋情']",这句自我肯定语适合'正在恋爱'的用户，因为它提醒人们在忙碌的生活中也需要适当的休息，这同样适用于恋爱关系中的平衡；适合'处在一段艰难的亲密关系中'的用户，因为适当的休息可能有助于他们从关系中抽身，重新审视和调整；适合'快乐地单身着'的用户，因为他们可能在享受单身生活的同时，也需要适当的休息来保持最佳状态；适合'单身但准备好了开始新的恋情'的用户，因为适当的休息可以帮助他们保持清晰的头脑，为新的关系做好准备。这句自我肯定语不太适合'最近刚分手'的用户，因为它并没有直接涉及到情感疗愈或对过去关系的释怀；也不太适合'有点辛苦的暗恋'的用户，因为它没有直接涉及到人际交往或勇气的表达。,"['不好', '糟糕']","['健康', '自己']",不放'开心'和'很好'的标签，因为自我肯定语中提到的'适当的休息'暗示了当前可能存在需要休息的情况，这通常与积极情绪状态不符。不放'一般'的标签，因为这句话倾向于提供安慰和支持，更适合那些感到不好或糟糕的人。不放'家庭'、'朋友'、'工作'、'感情'和'学业'的标签，因为句子中没有明确提及这些因素。,,,,,,
7,我享受清晰思考的每一刻。,"['积极心态', '自信', '个人成长']","{'未选合集及理由': {'艰难时刻': '语句不涉及自我安抚或情绪困境的接纳。', '平静内心': '不符合寻找心理宁静的需求。', '抗击抑郁': '语句未聚焦低落情绪的恢复。', '心碎疗愈': '无情感伤害或关系修复内容。', '自我关怀': '无直接关于滋养自我的表达。', '减压放松': '未体现压力释放或当下放松意图。', '感恩练习': '不涉及感恩或资源觉察内容。', '爱我的身体': '无身体相关的觉察或积极接纳表达。', '爱自己': '未明确传达无条件自我认同。', '自尊心': '未强调自身价值体系的稳固。', '我很好': '不涉及自我状态的简单确认。', '愉悦心情': '不涉及日常愉悦感知。', '焕发生命力': '未关注唤醒内在活力或潜能。', '点燃动力': '不涉及突破行动瓶颈或意志召唤。', '拥抱女性身份': '无女性身份相关内容。', '女性力量': '未涉及抗争/主权意识建构。', '亲密关系': '语句未指向关系修复或信任建设。', '人际交往': '未关注社交掌控感或边界维护。', '爱家人': '未提及家庭成员或家庭关系。', '原谅': '无关于宽恕他人或自我原谅的内容。', '事业成功': '无职业发展或成就目标导向。', '擦拭信念': '未涉及信念重塑或理想追求。', '追梦无悔': '未体现追梦或不懈努力情境。'}}",,,,,,"['正在恋爱', '快乐地单身着', '单身但准备好了开始新的恋情']",不放'最近刚分手'和'处在一段艰难的亲密关系中'的理由：自我肯定语'我享受清晰思考的每一刻'强调的是个人积极的心态和自我肯定，与情感失落、疗愈、反思或关系中的矛盾、困惑、挣扎等情感状态不直接相关。不放'有点辛苦的暗恋'的理由：该自我肯定语没有涉及人际交往或勇气表达，而是强调个人内心的清晰思考，与暗恋中的情感状态关联不大。,"['很好', '一般']",['自己'],自我肯定语'我享受清晰思考的每一刻'表达了一种积极的自我认知和自信，适合推送给'很好'和'一般'情感状态的用户。句子中没有涉及家庭、朋友、工作、健康、感情和学业等外部因素，所以只选择了'自己'标签。,,,,,,
9,我不完美，但我很真实。,"['自我关怀', '我很好']","{'未选合集及理由': {'艰难时刻': '语句不涉及自我安抚或情绪困境的接纳。', '平静内心': '不符合寻找心理宁静的需求。', '抗击抑郁': '语句未聚焦低落情绪的恢复。', '心碎疗愈': '无情感伤害或关系修复内容。', '减压放松': '未体现压力释放或当下放松意图。', '感恩练习': '不涉及感恩或资源觉察内容。', '爱我的身体': '无身体相关的觉察或积极接纳表达。', '爱自己': '未明确传达无条件自我认同。', '自尊心': '未强调自身价值体系的稳固。', '积极心态': '未强调乐观思维或积极感知。', '愉悦心情': '不涉及日常愉悦感知。', '焕发生命力': '未关注唤醒内在活力或潜能。', '点燃动力': '不涉及突破行动瓶颈或意志召唤。', '拥抱女性身份': '无女性身份相关内容。', '女性力量': '未涉及抗争/主权意识建构。', '亲密关系': '语句未指向关系修复或信任建设。', '人际交往': '未关注社交掌控感或边界维护。', '爱家人': '未提及家庭成员或家庭关系。', '原谅': '无关于宽恕他人或自我原谅的内容。', '事业成功': '无职业发展或成就目标导向。', '擦拭信念': '未涉及信念重塑或理想追求。', '追梦无悔': '未体现追梦或不懈努力情境。'}}",,,,,,"['正在恋爱', '处在一段艰难的亲密关系中', '快乐地单身着', '单身但准备好了开始新的恋情', '有点辛苦的暗恋']",最近刚分手的用户可能需要更多关于疗愈和释怀的语句，而不是强调个人真实性，因此不放这个标签。,"['一般', '不好', '糟糕']",['自己'],该自我肯定语表达了自我接纳和真实性，适合一般、不好和糟糕的情感状态。句子中没有涉及家庭、朋友、工作、健康、感情和学业等因素，因此只选择'自己'标签。,,,,,,
6,我可以在安静中找到力量。,"['平静内心', '自信', '我很好']","{'未选合集及理由': {'个人成长': '语句未强调个人发展或学习进步。', '艰难时刻': '语句不涉及困境中的坚持或鼓励。', '抗击抑郁': '未涉及对抗抑郁或重建自我价值。', '心碎疗愈': '无情感创伤修复或失恋恢复内容。', '自我关怀': '未体现自我滋养或身心照料。', '减压放松': '未涉及压力释放或身心放松。', '感恩练习': '不涉及感恩或积极资源觉察。', '爱我的身体': '无身体相关觉察或积极接纳表达。', '爱自己': '未明确传达无条件自我认同。', '自尊心': '未强调自身价值体系的稳固。', '积极心态': '未强调乐观思维或积极感知。', '愉悦心情': '不涉及日常愉悦感知。', '焕发生命力': '未关注唤醒内在活力或潜能。', '点燃动力': '不涉及突破行动瓶颈或意志召唤。', '拥抱女性身份': '无女性身份相关内容。', '女性力量': '未涉及抗争/主权意识建构。', '亲密关系': '语句未指向关系修复或信任建设。', '人际交往': '未关注社交掌控感或边界维护。', '爱家人': '未提及家庭成员或家庭关系。', '原谅': '无关于宽恕他人或自我原谅的内容。', '事业成功': '无职业发展或成就目标导向。', '擦拭信念': '未涉及信念重塑或理想追求。', '追梦无悔': '未体现追梦或不懈努力情境。'}}",,,,,,"['正在恋爱', '处在一段艰难的亲密关系中', '快乐地单身着', '单身但准备好了开始新的恋情', '有点辛苦的暗恋']",最近刚分手的用户可能需要更多关于情感疗愈和释怀的自我肯定语，而这句话强调的是在安静中找到力量，可能并不直接对应于他们当前的需求。,"['一般', '不好', '糟糕']",['自己'],自我肯定语中的'安静中找到力量'暗示了一种自我关怀和自信的态度，适合'一般'情感状态的用户。同时，该语句也适用于'不好'和'糟糕'情感状态的用户，因为它提供了一种在困难时期寻找内心力量的方法。'开心'和'很好'情感状态的用户可能不需要这种自我肯定，因为他们已经处于积极的情绪状态。'家庭'、'朋友'、'工作'、'健康'、'感情'和'学业'等因素在该语句中没有明确提及，因此不选择这些标签。,,,,,,
8,我感恩生活，每一个瞬间都值得我去珍惜。,['感恩练习'],"{'未选合集及理由': {'个人成长': '语句未聚焦于个人发展或学习进步。', '自信': '未强调自我信任或能力肯定。', '艰难时刻': '语句不涉及自我安抚或情绪困境的接纳。', '平静内心': '不符合寻找心理宁静的需求。', '抗击抑郁': '语句未聚焦低落情绪的恢复。', '心碎疗愈': '无情感伤害或关系修复内容。', '自我关怀': '无直接关于滋养自我的表达。', '减压放松': '未体现压力释放或当下放松意图。', '爱我的身体': '无身体相关的觉察或积极接纳表达。', '爱自己': '未明确传达无条件自我认同。', '自尊心': '未强调自身价值体系的稳固。', '我很好': '不涉及自我状态的简单确认。', '积极心态': '未强调乐观思维或积极感知。', '愉悦心情': '不涉及日常愉悦感知。', '焕发生命力': '未关注唤醒内在活力或潜能。', '点燃动力': '不涉及突破行动瓶颈或意志召唤。', '拥抱女性身份': '无女性身份相关内容。', '女性力量': '未涉及抗争/主权意识建构。', '亲密关系': '语句未指向关系修复或信任建设。', '人际交往': '未关注社交掌控感或边界维护。', '爱家人': '未提及家庭成员或家庭关系。', '原谅': '无关于宽恕他人或自我原谅的内容。', '事业成功': '无职业发展或成就目标导向。', '擦拭信念': '未涉及信念重塑或理想追求。', '追梦无悔': '未体现追梦或不懈努力情境。'}}",,,,,,"['正在恋爱', '快乐地单身着', '单身但准备好了开始新的恋情']",不放'最近刚分手'和'处在一段艰难的亲密关系中'的理由是，这些状态通常涉及情感上的失落或挣扎，而这句话强调的是对生活的感恩和珍惜每一个瞬间，更适合那些情感状态较为积极或稳定的人群。不放'有点辛苦的暗恋'的理由是，这句话并没有直接关联到暗恋的情感状态，而是更广泛地表达了对生活的感激和珍惜。,"['很好', '开心']",['自己'],该自我肯定语表达了对生活的感恩和珍惜每一个瞬间的积极情绪，符合【很好】和【开心】的情感倾向。句子中没有涉及家庭、朋友、工作、健康、感情或学业等具体因素，因此只选择与自我肯定相关的【自己】标签。,,,,,,
10,我的职业探索之旅才刚刚开始，一切都充满可能。,"['个人成长', '事业成功', '积极心态']","{'未选合集及理由': {'艰难时刻': '语句不涉及自我安抚或情绪困境的接纳。', '平静内心': '不符合寻找心理宁静的需求。', '抗击抑郁': '语句未聚焦低落情绪的恢复。', '心碎疗愈': '无情感伤害或关系修复内容。', '自我关怀': '无直接关于滋养自我的表达。', '减压放松': '未体现压力释放或当下放松意图。', '感恩练习': '不涉及感恩或资源觉察内容。', '爱我的身体': '无身体相关的觉察或积极接纳表达。', '爱自己': '未明确传达无条件自我认同。', '自尊心': '未强调自身价值体系的稳固。', '我很好': '不涉及自我状态的简单确认。', '愉悦心情': '不涉及日常愉悦感知。', '焕发生命力': '未关注唤醒内在活力或潜能。', '点燃动力': '不涉及突破行动瓶颈或意志召唤。', '拥抱女性身份': '无女性身份相关内容。', '女性力量': '未涉及抗争/主权意识建构。', '亲密关系': '语句未指向关系修复或信任建设。', '人际交往': '未关注社交掌控感或边界维护。', '爱家人': '未提及家庭成员或家庭关系。', '原谅': '无关于宽恕他人或自我原谅的内容。', '擦拭信念': '未涉及信念重塑或理想追求。', '追梦无悔': '未体现追梦或不懈努力情境。'}}",,,,,,"['快乐地单身着', '单身但准备好了开始新的恋情']",不放'正在恋爱'是因为这句话主要关注职业探索，与恋爱关系无关。不放'最近刚分手'和'处在一段艰难的亲密关系中'是因为这两类用户更关注情感疗愈和关系改善，而这句话主要强调职业发展的可能性。不放'有点辛苦的暗恋'是因为这句话没有涉及暗恋或人际关系，而是关注个人职业成长。,"['很好', '一般']","['工作', '自己']",该自我肯定语表达了职业探索的积极态度和对未来的乐观期待，因此适合推送给情感状态为'很好'和'一般'的用户。句子中没有涉及家庭、健康、感情或学业，所以这些标签不适用。,,,,,,
