序号,自我肯定语,合集,合集理由,权重,曝光点赞率,不感兴趣次数,是否短断句,生产者,感情状况,感情状况理由,最近的感觉,什么让你有这种感觉,最近的感觉理由,场景,子场景,用户需求,心理作用机制与功能,句子级别,备注
4378,会有很多人和我合得来。,['人际交往'],"{'未选合集及理由': {'艰难时刻': '语句不涉及自我安抚或情绪困境的接纳。', '平静内心': '不符合寻找心理宁静的需求。', '抗击抑郁': '语句未聚焦低落情绪的恢复。', '心碎疗愈': '无情感伤害或关系修复内容。', '自我关怀': '无直接关于滋养自我的表达。', '减压放松': '未体现压力释放或当下放松意图。', '感恩练习': '不涉及感恩或资源觉察内容。', '爱我的身体': '无身体相关的觉察或积极接纳表达。', '爱自己': '未明确传达无条件自我认同。', '自尊心': '未强调自身价值体系的稳固。', '我很好': '不涉及自我状态的简单确认。', '积极心态': '未强调乐观思维或积极感知。', '愉悦心情': '不涉及日常愉悦感知。', '焕发生命力': '未关注唤醒内在活力或潜能。', '点燃动力': '不涉及突破行动瓶颈或意志召唤。', '拥抱女性身份': '无女性身份相关内容。', '女性力量': '未涉及抗争/主权意识建构。', '亲密关系': '语句未指向关系修复或信任建设。', '爱家人': '未提及家庭成员或家庭关系。', '原谅': '无关于宽恕他人或自我原谅的内容。', '事业成功': '无职业发展或成就目标导向。', '擦拭信念': '未涉及信念重塑或理想追求。', '追梦无悔': '未体现追梦或不懈努力情境。', '勇气': '未强调面对挑战时的勇气召唤。'}}",,,,,,"['快乐地单身着', '单身但准备好了开始新的恋情']",自我肯定语“会有很多人和我合得来”表达了一种积极、自信的态度，适合那些正在享受单身生活或准备好开始新恋情的人。对于正在恋爱的人，这句话可能不太适用，因为他们已经在一段关系中，不需要强调与其他人合得来。对于最近刚分手或处在一段艰难的亲密关系中的人，这句话可能不太合适，因为他们可能正面临情感上的挑战，需要更多的支持和安慰。对于有点辛苦的暗恋，这句话可能不太相关，因为他们的关注点可能在于特定的对象，而不是与其他人的关系。,"['很好', '开心']",['自己'],这句话表达了自信和积极的情绪，适合推送给情感状态为开心和很好的用户。句子中没有提及家庭、朋友、工作、健康、感情和学业等具体因素，所以只选择了与自信和自我关怀相关的'自己'标签。,,,,,,
4379,我不甘平凡，我要轰轰烈烈地去追求。,"['追梦无悔', '点燃动力', '自信']","{'未选合集及理由': {'个人成长': '语句强调的是追求梦想的激情和行动，而非个人成长或学习进步。', '艰难时刻': '语句不涉及自我安抚或情绪困境的接纳。', '平静内心': '不符合寻找心理宁静的需求。', '抗击抑郁': '语句未聚焦低落情绪的恢复。', '心碎疗愈': '无情感伤害或关系修复内容。', '自我关怀': '无直接关于滋养自我的表达。', '减压放松': '未体现压力释放或当下放松意图。', '感恩练习': '不涉及感恩或资源觉察内容。', '爱我的身体': '无身体相关的觉察或积极接纳表达。', '爱自己': '未明确传达无条件自我认同。', '自尊心': '未强调自身价值体系的稳固。', '我很好': '不涉及自我状态的简单确认。', '积极心态': '语句更侧重于追梦的激情和行动，而非积极心态。', '愉悦心情': '不涉及日常愉悦感知。', '焕发生命力': '未关注唤醒内在活力或潜能。', '拥抱女性身份': '无女性身份相关内容。', '女性力量': '未涉及抗争/主权意识建构。', '亲密关系': '语句未指向关系修复或信任建设。', '人际交往': '未关注社交掌控感或边界维护。', '爱家人': '未提及家庭成员或家庭关系。', '原谅': '无关于宽恕他人或自我原谅的内容。', '事业成功': '无职业发展或成就目标导向。', '擦拭信念': '未涉及信念重塑或理想追求。', '勇气': '语句强调的是追求梦想的激情，而非面对挑战时的勇气召唤。'}}",,,,,,['单身但准备好了开始新的恋情'],这句话强调了追求不平凡的生活和轰轰烈烈的态度，适合那些单身但准备好开始新恋情的人，因为他们可能正在寻求新的生活体验和关系。不适合正在恋爱的人，因为他们已经在一段关系中，不需要追求新的恋情。不适合最近刚分手、处在一段艰难的亲密关系中和有点辛苦的暗恋的人，因为这些情况都涉及到情感上的挣扎和困难，而这句话传达的是一种积极向上、追求新生活的态度，与这些情况不太相符。,"['开心', '很好']",['自己'],该自我肯定语表达了不甘平凡、追求轰轰烈烈的决心，具有积极向上的情感倾向，因此适合推送给'开心'和'很好'的用户。句子中没有提及家庭、朋友、工作、健康、感情或学业等外部因素，而是强调了个人的决心和追求，所以只选择了'自己'作为相关因素。,,,,,,
4380,我人见人爱。,"['自信', '愉悦心情', '我很好']","{'未选合集及理由': {'艰难时刻': '语句不涉及自我安抚或情绪困境的接纳。', '平静内心': '不符合寻找心理宁静的需求。', '抗击抑郁': '语句未聚焦低落情绪的恢复。', '心碎疗愈': '无情感伤害或关系修复内容。', '自我关怀': '无直接关于滋养自我的表达。', '减压放松': '未体现压力释放或当下放松意图。', '感恩练习': '不涉及感恩或资源觉察内容。', '爱我的身体': '无身体相关的觉察或积极接纳表达。', '爱自己': '未明确传达无条件自我认同。', '自尊心': '未强调自身价值体系的稳固。', '积极心态': '虽然语句有积极意味，但更多体现个人魅力和他人认可，与乐观思维或积极感知不完全吻合。', '焕发生命力': '未关注唤醒内在活力或潜能。', '点燃动力': '不涉及突破行动瓶颈或意志召唤。', '拥抱女性身份': '无女性身份相关内容。', '女性力量': '未涉及抗争/主权意识建构。', '亲密关系': '语句未指向关系修复或信任建设。', '人际交往': '未关注社交掌控感或边界维护。', '爱家人': '未提及家庭成员或家庭关系。', '原谅': '无关于宽恕他人或自我原谅的内容。', '事业成功': '无职业发展或成就目标导向。', '擦拭信念': '未涉及信念重塑或理想追求。', '追梦无悔': '未体现追梦或不懈努力情境。', '勇气': '未强调面对挑战时的勇气召唤。'}}",,,,,,"['正在恋爱', '快乐地单身着', '单身但准备好了开始新的恋情']",不放'最近刚分手'和'处在一段艰难的亲密关系中'的理由是，这些感情状况的用户可能正经历情感上的挑战和不确定性，而'我人见人爱'这种自我肯定语可能与他们当前的情感状态不相符，可能无法给他们带来正面的反馈。不放'有点辛苦的暗恋'的理由是，这种自我肯定语可能不直接关联到暗恋者的情感状态，他们可能更需要的是关于勇气和人际交往的鼓励。,"['开心', '很好', '一般']",['自己'],自我肯定语'我人见人爱'表达了自信和积极情绪，因此适合推送给'开心'、'很好'和'一般'情感状态的用户。句子中没有涉及家庭、朋友、工作、健康、感情或学业相关因素，所以只选择了'自己'标签。,,,,,,
4381,我总能找到自己身上的闪光点,"['自信', '个人成长', '我很好']","{'未选合集及理由': {'艰难时刻': '语句不涉及自我安抚或情绪困境的接纳。', '平静内心': '不符合寻找心理宁静的需求。', '抗击抑郁': '语句未聚焦低落情绪的恢复。', '心碎疗愈': '无情感伤害或关系修复内容。', '自我关怀': '无直接关于滋养自我的表达。', '减压放松': '未体现压力释放或当下放松意图。', '感恩练习': '不涉及感恩或资源觉察内容。', '爱我的身体': '无身体相关的觉察或积极接纳表达。', '爱自己': '未明确传达无条件自我认同。', '自尊心': '未强调自身价值体系的稳固。', '积极心态': '未强调乐观思维或积极感知。', '愉悦心情': '不涉及日常愉悦感知。', '焕发生命力': '未关注唤醒内在活力或潜能。', '点燃动力': '不涉及突破行动瓶颈或意志召唤。', '拥抱女性身份': '无女性身份相关内容。', '女性力量': '未涉及抗争/主权意识建构。', '亲密关系': '语句未指向关系修复或信任建设。', '人际交往': '未关注社交掌控感或边界维护。', '爱家人': '未提及家庭成员或家庭关系。', '原谅': '无关于宽恕他人或自我原谅的内容。', '事业成功': '无职业发展或成就目标导向。', '擦拭信念': '未涉及信念重塑或理想追求。', '追梦无悔': '未体现追梦或不懈努力情境。'}}",,,,,,"['正在恋爱', '快乐地单身着', '单身但准备好了开始新的恋情']",不放'最近刚分手'和'处在一段艰难的亲密关系中'的理由是，这些感情状况下的用户可能更关注情感失落和关系中的矛盾，而该自我肯定语强调的是个人自信和自我价值，与这些感情状况下用户的主要需求不太匹配。不放'有点辛苦的暗恋'的理由是，该感情状况下的用户可能更关注人际交往和勇气，而该自我肯定语更多强调自我价值和闪光点，关联性不大。,"['很好', '开心']",['自己'],该自我肯定语表达了自信和积极情绪，适合推送给'开心'和'很好'的用户。句子中没有提及家庭、朋友、工作、健康、感情、学业等外部因素，所以只选择了'自己'标签。,,,,,,
4382,我自己就拥有实现那些愿望的能力。,"['个人成长', '自信', '点燃动力', '事业成功']","{'未选合集及理由': {'艰难时刻': '语句不涉及自我安抚或情绪困境的接纳。', '平静内心': '不符合寻找心理宁静的需求。', '抗击抑郁': '语句未聚焦低落情绪的恢复。', '心碎疗愈': '无情感伤害或关系修复内容。', '自我关怀': '无直接关于滋养自我的表达。', '减压放松': '未体现压力释放或当下放松意图。', '感恩练习': '不涉及感恩或资源觉察内容。', '爱我的身体': '无身体相关的觉察或积极接纳表达。', '爱自己': '未明确传达无条件自我认同。', '自尊心': '未强调自身价值体系的稳固。', '我很好': '不涉及自我状态的简单确认。', '积极心态': '未强调乐观思维或积极感知。', '愉悦心情': '不涉及日常愉悦感知。', '焕发生命力': '未关注唤醒内在活力或潜能。', '拥抱女性身份': '无女性身份相关内容。', '女性力量': '未涉及抗争/主权意识建构。', '亲密关系': '语句未指向关系修复或信任建设。', '人际交往': '未关注社交掌控感或边界维护。', '爱家人': '未提及家庭成员或家庭关系。', '原谅': '无关于宽恕他人或自我原谅的内容。', '擦拭信念': '未涉及信念重塑或理想追求。', '追梦无悔': '未体现追梦或不懈努力情境。', '勇气': '未强调面对挑战时的勇气召唤。'}}",,,,,,"['正在恋爱', '快乐地单身着', '单身但准备好了开始新的恋情']",不放'最近刚分手'和'处在一段艰难的亲密关系中'的理由是，这些状态的用户可能正经历情感上的挑战，而这句话强调的是个人能力，可能不会直接关联到他们当前的情感状态。不放'有点辛苦的暗恋'的理由是，这句话更多强调的是个人实现愿望的能力，而不是关于人际交往或勇气的鼓励。,"['开心', '很好', '一般']",['自己'],自我肯定语表达了自信和力量感，适合推送给开心、很好和一般情感状态的用户。句子中没有涉及家庭、朋友、工作、健康、感情和学业等因素，所以这些标签都不适用。,,,,,,
4383,我多给自己一点时间，多给自己一次机会。,"['自我关怀', '个人成长', '艰难时刻']","{'未选合集及理由': {'平静内心': '语句未聚焦心理宁静的需求。', '抗击抑郁': '语句未涉及低落情绪的恢复。', '心碎疗愈': '无情感伤害或关系修复内容。', '减压放松': '未体现压力释放或当下放松意图。', '感恩练习': '不涉及感恩或资源觉察内容。', '爱我的身体': '无身体相关的觉察或积极接纳表达。', '爱自己': '未明确传达无条件自我认同。', '自尊心': '未强调自身价值体系的稳固。', '我很好': '不涉及自我状态的简单确认。', '积极心态': '未强调乐观思维或积极感知。', '愉悦心情': '不涉及日常愉悦感知。', '焕发生命力': '未关注唤醒内在活力或潜能。', '点燃动力': '不涉及突破行动瓶颈或意志召唤。', '拥抱女性身份': '无女性身份相关内容。', '女性力量': '未涉及抗争/主权意识建构。', '亲密关系': '语句未指向关系修复或信任建设。', '人际交往': '未关注社交掌控感或边界维护。', '爱家人': '未提及家庭成员或家庭关系。', '原谅': '无关于宽恕他人或自我原谅的内容。', '事业成功': '无职业发展或成就目标导向。', '擦拭信念': '未涉及信念重塑或理想追求。', '追梦无悔': '未体现追梦或不懈努力情境。', '勇气': '未强调面对挑战时的勇气召唤。'}}",,,,,,"['最近刚分手', '处在一段艰难的亲密关系中', '快乐地单身着', '单身但准备好了开始新的恋情']",不放'正在恋爱'的理由：这句话强调给自己时间和机会，而正在恋爱的人通常不需要给自己额外的时间和机会，因为他们已经在一段关系中。不放'有点辛苦的暗恋'的理由：这句话更侧重于自我肯定和给自己机会，而不是关于勇气或主动追求，所以不太适合暗恋的情况。,"['一般', '不好']",['自己'],该自我肯定语表达了给自己更多时间和机会，适用于一般和不好的情感状态。句子没有涉及开心、很好、糟糕、家庭、朋友、工作、健康、感情、学业等其他因素，因此不放这些标签。,,,,,,
4384,我可以创造奇迹。,"['自信', '个人成长', '焕发生命力', '点燃动力', '追梦无悔']","{'未选合集及理由': {'艰难时刻': '语句不涉及自我安抚或情绪困境的接纳。', '平静内心': '不符合寻找心理宁静的需求。', '抗击抑郁': '语句未聚焦低落情绪的恢复。', '心碎疗愈': '无情感伤害或关系修复内容。', '自我关怀': '无直接关于滋养自我的表达。', '减压放松': '未体现压力释放或当下放松意图。', '感恩练习': '不涉及感恩或资源觉察内容。', '爱我的身体': '无身体相关的觉察或积极接纳表达。', '爱自己': '未明确传达无条件自我认同。', '自尊心': '未强调自身价值体系的稳固。', '我很好': '不涉及自我状态的简单确认。', '积极心态': '虽有积极意味，但更侧重自我效能和潜能激发。', '愉悦心情': '不涉及日常愉悦感知。', '拥抱女性身份': '无女性身份相关内容。', '女性力量': '未涉及抗争/主权意识建构。', '亲密关系': '语句未指向关系修复或信任建设。', '人际交往': '未关注社交掌控感或边界维护。', '爱家人': '未提及家庭成员或家庭关系。', '原谅': '无关于宽恕他人或自我原谅的内容。', '事业成功': '无职业发展或成就目标导向。', '擦拭信念': '未涉及信念重塑或理想追求。', '勇气': '虽有勇气意味，但更侧重自我潜能和创造力的激发。'}}",,,,,,"['正在恋爱', '快乐地单身着', '单身但准备好了开始新的恋情']",不放'最近刚分手'和'处在一段艰难的亲密关系中'的理由是，这句话强调的是个人能力和创造奇迹，而这两个状态更多地涉及情感失落和关系矛盾，与个人能力创造奇迹的主题不太相关。不放'有点辛苦的暗恋'的理由是，这句话更多强调个人能力和创造奇迹，而这个状态更多涉及情感上的辛苦和人际交往，主题不太相关。,"['开心', '很好']",['自己'],该自我肯定语表达了强烈的自信和力量感，适合推送给情感状态为开心和很好的用户。句子中没有提及家庭、朋友、工作、健康、感情和学业等外部因素，因此只选择了与自我相关的标签。,,,,,,
4385,我的未来比海更辽阔,"['积极心态', '追梦无悔', '自信']","{'未选合集及理由': {'个人成长': '虽然句子具有成长意味，但更侧重于积极心态和未来展望。', '艰难时刻': '语句未涉及困境中的坚韧或希望，而是强调未来的广阔。', '平静内心': '未体现寻求内心平静或情绪管理。', '抗击抑郁': '未涉及对抗抑郁或重建自我价值。', '心碎疗愈': '无情感伤害或关系修复内容。', '自我关怀': '未直接关于滋养自我或自我爱护。', '减压放松': '未体现压力释放或当下放松意图。', '感恩练习': '不涉及感恩或资源觉察内容。', '爱我的身体': '无身体相关的觉察或积极接纳表达。', '爱自己': '未明确传达无条件自我认同。', '自尊心': '未强调自身价值体系的稳固。', '我很好': '不涉及自我状态的简单确认。', '愉悦心情': '不涉及日常愉悦感知。', '焕发生命力': '未关注唤醒内在活力或潜能。', '点燃动力': '不涉及突破行动瓶颈或意志召唤。', '拥抱女性身份': '无女性身份相关内容。', '女性力量': '未涉及抗争/主权意识建构。', '亲密关系': '语句未指向关系修复或信任建设。', '人际交往': '未关注社交掌控感或边界维护。', '爱家人': '未提及家庭成员或家庭关系。', '原谅': '无关于宽恕他人或自我原谅的内容。', '事业成功': '无职业发展或成就目标导向。', '擦拭信念': '未涉及信念重塑或理想追求。', '勇气': '虽然句子具有勇气意味，但更侧重于积极心态和未来展望。'}}",,,,,,"['正在恋爱', '快乐地单身着', '单身但准备好了开始新的恋情']",不放'最近刚分手'和'处在一段艰难的亲密关系中'的标签，因为这句话强调的是未来的可能性和希望，而'最近刚分手'和'处在一段艰难的亲密关系中'的用户可能更关注当前的情感状态和疗愈，而不是未来的可能性。不放'有点辛苦的暗恋'的标签，因为这句话没有直接涉及暗恋或人际关系的情境。,"['开心', '很好', '一般']",['自己'],这句话表达了对未来的积极展望和自信，适合开心、很好和一般的情感状态。它没有涉及家庭、朋友、工作、健康、感情或学业的具体问题，所以这些标签都不适用。,,,,,,
4386,我所经历的一切都有意义。,"['个人成长', '积极心态']","{'未选合集及理由': {'艰难时刻': '语句不涉及自我安抚或情绪困境的接纳。', '平静内心': '不符合寻找心理宁静的需求。', '抗击抑郁': '语句未聚焦低落情绪的恢复。', '心碎疗愈': '无情感伤害或关系修复内容。', '自我关怀': '无直接关于滋养自我的表达。', '减压放松': '未体现压力释放或当下放松意图。', '感恩练习': '不涉及感恩或资源觉察内容。', '爱我的身体': '无身体相关的觉察或积极接纳表达。', '爱自己': '未明确传达无条件自我认同。', '自尊心': '未强调自身价值体系的稳固。', '我很好': '不涉及自我状态的简单确认。', '愉悦心情': '不涉及日常愉悦感知。', '焕发生命力': '未关注唤醒内在活力或潜能。', '点燃动力': '不涉及突破行动瓶颈或意志召唤。', '拥抱女性身份': '无女性身份相关内容。', '女性力量': '未涉及抗争/主权意识建构。', '亲密关系': '语句未指向关系修复或信任建设。', '人际交往': '未关注社交掌控感或边界维护。', '爱家人': '未提及家庭成员或家庭关系。', '原谅': '无关于宽恕他人或自我原谅的内容。', '事业成功': '无职业发展或成就目标导向。', '擦拭信念': '未涉及信念重塑或理想追求。', '追梦无悔': '未体现追梦或不懈努力情境。', '勇气': '未强调面对挑战时的勇气召唤。'}}",,,,,,"['正在恋爱', '最近刚分手', '处在一段艰难的亲密关系中', '快乐地单身着', '单身但准备好了开始新的恋情']",该自我肯定语适合所有感情状况的用户，因为它强调了个人经历的价值和意义，适用于各种情感状态。,"['一般', '很好']",['自己'],这句话表达了一种积极的情感倾向，认为个人经历具有意义，因此适合【一般】和【很好】的情感状态。句子中没有提及家庭、朋友、工作、健康、感情或学业等具体因素，而是强调了个人经历的价值，所以选择了【自己】作为相关因素。,,,,,,
4387,我不沉浸在过去的辛酸里，我只需记住过去的教训。,"['个人成长', '勇气']","{'未选合集及理由': {'艰难时刻': '语句不涉及自我安抚或情绪困境的接纳。', '平静内心': '不符合寻找心理宁静的需求。', '抗击抑郁': '语句未聚焦低落情绪的恢复。', '心碎疗愈': '无情感伤害或关系修复内容。', '自我关怀': '无直接关于滋养自我的表达。', '减压放松': '未体现压力释放或当下放松意图。', '感恩练习': '不涉及感恩或资源觉察内容。', '爱我的身体': '无身体相关的觉察或积极接纳表达。', '爱自己': '未明确传达无条件自我认同。', '自尊心': '未强调自身价值体系的稳固。', '我很好': '不涉及自我状态的简单确认。', '积极心态': '未强调乐观思维或积极感知。', '愉悦心情': '不涉及日常愉悦感知。', '焕发生命力': '未关注唤醒内在活力或潜能。', '点燃动力': '不涉及突破行动瓶颈或意志召唤。', '拥抱女性身份': '无女性身份相关内容。', '女性力量': '未涉及抗争/主权意识建构。', '亲密关系': '语句未指向关系修复或信任建设。', '人际交往': '未关注社交掌控感或边界维护。', '爱家人': '未提及家庭成员或家庭关系。', '原谅': '无关于宽恕他人或自我原谅的内容。', '事业成功': '无职业发展或成就目标导向。', '擦拭信念': '未涉及信念重塑或理想追求。', '追梦无悔': '未体现追梦或不懈努力情境。'}}",,,,,,"['最近刚分手', '处在一段艰难的亲密关系中', '有点辛苦的暗恋']",这句自我肯定语强调从过去的经验中学习，而不是沉浸在过去的辛酸里。因此，它适合那些经历过分手、处于艰难关系中或经历暗恋痛苦的用户，帮助他们从过去的经历中吸取教训，向前看。而这句肯定语并没有涉及正在恋爱或快乐单身的状态，所以不适合推送给处于这些感情状况的用户。,"['不好', '一般']",['自己'],该自我肯定语表达了从过去的辛酸中走出来，记住教训的积极态度，适合一般情感状态的用户。同时，句子中没有明确提及家庭、朋友、工作、健康、感情、学业等因素，所以只选择与自我相关的标签。,,,,,,
